feature,importance
X178_mean,304
X552_range,271
X1031_range,269
X40_median,123
X167_median,106
X886_mean,92
X63_mean,75
X146_max,66
X125_std,43
X167_mean,40
X79_std,40
X674_std,38
X1064_mean,38
X64_std,35
X67_std,35
X52_std,33
X839_mean,32
X63_std,32
X549_std,32
X214_mean,32
X19_std,32
X483_std,31
X95_median,30
X264_max,30
X214_min,30
X77_std,30
X29_std,29
X120_median,29
X632_std,29
X486_std,29
X1020_max,29
X268_median,28
X74_std,28
X669_mean,28
X719_range,28
X676_mean,28
X480_min,27
X150_std,27
X1020_mean,27
X210_std,27
X187_std,27
X683_std,27
X749_mean,27
X214_std,26
X197_std,26
X37_std,26
X254_std,26
X119_range,26
X126_mean,26
X113_std,26
X680_median,25
X165_std,25
X550_max,25
X1031_std,24
X679_std,24
X828_std,24
X209_std,24
X669_median,24
X121_std,24
X65_std,24
X46_std,24
X1030_min,24
X250_min,24
X670_mean,24
X32_std,23
X18_std,23
X1044_std,23
X833_std,23
X552_std,23
X886_median,22
X76_std,22
X45_std,22
X83_min,22
X1008_min,22
X481_std,22
X214_median,22
X318_std,22
X262_std,22
X660_std,22
X830_mean,22
X721_std,22
X676_max,22
X995_std,22
X1045_std,22
X721_max,22
X690_std,22
X75_std,21
X73_std,21
X146_mean,21
X28_std,21
X680_std,21
X268_std,21
X40_mean,21
X722_range,21
X337_mean,21
X33_std,21
X994_mean,21
X50_std,21
X126_median,21
X86_min,20
X57_std,20
X578_mean,20
X828_range,20
X45_mean,20
X161_std,20
X1070_mean,20
X119_std,20
X749_median,20
X95_std,20
X268_mean,20
X264_mean,20
X480_std,20
X1083_range,20
X240_range,20
X121_median,20
X155_std,20
X952_std,20
X271_std,20
X999_range,19
X1042_std,19
X126_range,19
X656_max,19
X829_std,19
X1085_max,19
X835_mean,19
X1015_max,19
X320_std,19
X113_median,19
X24_std,19
X31_std,19
X1068_mean,19
X191_std,19
X128_std,19
X7_std,19
X83_std,19
X722_min,19
X41_std,19
X1085_min,19
X592_mean,19
X58_median,19
X731_std,19
X270_std,19
X995_median,18
X480_mean,18
X61_std,18
X484_mean,18
X670_min,18
X42_std,18
X38_median,18
X1001_std,18
X1085_std,18
X668_std,18
X188_std,18
X196_mean,18
X160_mean,18
X178_std,18
X145_std,18
X550_median,18
X974_median,18
X207_std,18
X57_min,18
X719_max,18
X834_mean,18
X442_mean,18
X298_std,18
X290_std,18
X119_median,18
X830_std,18
X732_std,18
X66_std,17
X247_std,17
X995_mean,17
X196_std,17
X1066_mean,17
X158_std,17
X578_median,17
X155_mean,17
X123_std,17
X730_median,17
X683_median,17
X4_std,17
X23_std,17
X10_std,17
X178_median,17
X197_median,17
X509_std,17
X1003_std,17
X999_std,17
X665_std,17
X446_std,17
X444_std,17
X264_std,17
X146_median,17
X1041_std,17
X46_min,17
X638_max,17
X667_range,17
X680_range,17
X125_range,17
X264_min,17
X337_min,17
X187_min,17
X1020_min,16
X499_mean,16
X205_max,16
X77_mean,16
X686_median,16
X486_mean,16
X17_std,16
X180_std,16
X268_min,16
X187_mean,16
X127_std,16
X155_max,16
X204_std,16
X190_mean,16
X484_median,16
X680_min,16
X1071_mean,16
X686_max,16
X128_median,16
X668_mean,16
X250_std,16
X240_std,16
X270_max,16
X661_std,16
X675_std,16
X734_std,16
X1029_std,16
X12_median,16
X736_std,16
X836_std,16
X822_std,16
X270_range,16
X78_median,16
X39_mean,16
X14_mean,16
X879_std,16
X23_mean,16
X41_mean,16
X207_max,15
X505_median,15
X613_mean,15
X550_min,15
X1084_range,15
X690_mean,15
X683_mean,15
X202_std,15
X185_std,15
X6_std,15
X58_max,15
X125_median,15
X91_median,15
X95_range,15
X997_std,15
X45_median,15
X653_std,15
X719_mean,15
X661_max,15
X667_mean,15
X726_range,15
X613_std,15
X669_range,15
X127_median,15
X1029_range,15
X161_range,15
X638_std,15
X448_std,15
X713_min,15
X1060_mean,15
X676_min,15
X106_std,15
X995_min,15
X167_std,15
X81_std,15
X832_std,15
X844_mean,15
X80_std,15
X71_std,15
X17_mean,15
X24_mean,15
X726_std,15
X730_std,15
X549_mean,15
X21_std,15
X86_std,15
X514_mean,15
X835_min,15
X74_mean,15
X855_mean,15
X1029_median,14
X1084_std,14
X1019_median,14
X1007_std,14
X1019_std,14
X726_mean,14
X1033_median,14
X550_range,14
X490_std,14
X974_std,14
X1058_std,14
X39_median,14
X670_std,14
X61_median,14
X721_mean,14
X466_std,14
X1002_range,14
X485_std,14
X479_std,14
X207_range,14
X253_std,14
X655_std,14
X429_std,14
X649_mean,14
X660_mean,14
X594_min,14
X644_mean,14
X197_mean,14
X485_median,14
X122_std,14
X1049_mean,14
X104_std,14
X204_max,14
X120_std,14
X999_min,14
X126_std,14
X95_min,14
X205_std,14
X58_mean,14
X76_mean,14
X66_mean,14
X713_median,14
X36_std,14
X726_min,14
X270_median,14
X680_mean,14
X113_range,14
X675_max,14
X65_median,14
X575_std,14
X578_std,14
X722_max,14
X562_std,14
X260_std,14
X337_max,14
X158_median,14
X1032_range,14
X730_mean,14
X660_max,14
X275_std,14
X549_max,14
X503_max,14
X47_std,13
X264_median,13
X451_mean,13
X655_mean,13
X1011_mean,13
X549_median,13
X113_min,13
X594_mean,13
X165_mean,13
X686_min,13
X677_median,13
X167_max,13
X481_mean,13
X664_median,13
X1074_mean,13
X131_std,13
X174_std,13
X550_mean,13
X14_std,13
X120_mean,13
X111_std,13
X121_mean,13
X1083_mean,13
X1033_min,13
X337_range,13
X1008_range,13
X337_std,13
X287_std,13
X327_median,13
X738_mean,13
X638_range,13
X668_range,13
X676_range,13
X105_median,13
X931_mean,13
X204_range,13
X484_std,13
X828_max,13
X506_std,13
X1083_std,13
X1030_std,13
X667_std,13
X719_std,13
X726_max,13
X669_std,13
X1015_std,13
X1008_std,13
X29_median,13
X46_median,13
X831_mean,13
X1002_std,13
X997_max,13
X995_max,13
X851_std,13
X893_std,13
X834_std,13
X838_std,13
X760_std,13
X739_std,13
X843_mean,13
X910_std,13
X29_mean,13
X998_max,13
X1020_median,13
X82_std,13
X46_mean,12
X62_std,12
X998_median,12
X78_std,12
X58_std,12
X1004_max,12
X69_std,12
X862_std,12
X868_std,12
X769_std,12
X880_mean,12
X827_std,12
X841_std,12
X835_std,12
X63_median,12
X1005_std,12
X1029_max,12
X853_std,12
X32_median,12
X18_median,12
X23_median,12
X725_std,12
X1080_std,12
X45_range,12
X1008_max,12
X65_range,12
X110_median,12
X723_std,12
X722_std,12
X648_std,12
X127_range,12
X644_std,12
X82_median,12
X1006_range,12
X1003_range,12
X721_range,12
X723_range,12
X188_range,12
X187_range,12
X253_range,12
X503_std,12
X27_median,12
X676_std,12
X652_std,12
X61_mean,12
X191_mean,12
X490_median,12
X481_min,12
X27_min,12
X656_mean,12
X1015_mean,12
X733_mean,12
X336_std,12
X270_mean,12
X187_median,12
X209_median,12
X660_range,12
X146_min,12
X178_min,12
X160_std,12
X483_mean,12
X196_max,12
X173_max,12
X670_median,12
X125_max,12
X110_std,12
X12_std,12
X828_min,12
X725_min,12
X660_median,12
X158_mean,12
X83_mean,12
X726_median,12
X721_median,12
X27_std,12
X832_median,12
X1085_mean,12
X57_range,11
X793_mean,11
X42_median,11
X50_median,11
X86_mean,11
X730_min,11
X119_mean,11
X585_mean,11
X1008_mean,11
X683_min,11
X290_median,11
X828_median,11
X730_range,11
X499_std,11
X563_std,11
X197_range,11
X483_range,11
X831_max,11
X501_std,11
X86_range,11
X713_std,11
X686_std,11
X1033_std,11
X27_range,11
X844_max,11
X576_std,11
X73_range,11
X123_median,11
X649_std,11
X1083_max,11
X910_mean,11
X761_std,11
X873_mean,11
X857_mean,11
X971_std,11
X857_std,11
X1004_std,11
X18_mean,11
X892_std,11
X59_std,11
X746_std,11
X27_mean,11
X1044_median,11
X1015_median,11
X1003_min,11
X731_median,11
X835_median,11
X59_mean,11
X719_min,11
X126_min,11
X178_max,11
X668_min,11
X260_mean,11
X71_mean,11
X998_min,11
X173_std,11
X442_std,11
X185_median,11
X202_median,11
X580_range,11
X588_max,11
X262_mean,11
X987_mean,11
X296_std,11
X337_median,11
X19_min,11
X668_max,11
X665_range,11
X723_mean,11
X204_mean,11
X443_std,11
X320_median,11
X188_median,11
X722_mean,11
X75_median,10
