date,syn_lot_id,src_run_id,src_wafer_no,pred_yield
2026-03-07,1001,12,14,73.7705
2026-03-07,1001,12,10,48.0
2026-03-07,1001,12,25,81.4815
2026-03-07,1001,12,14,73.7705
2026-03-07,1001,12,19,88.5246
2026-03-07,1001,12,18,51.3158
2026-03-07,1001,12,14,73.7705
2026-03-07,1001,12,24,100.0
2026-03-07,1001,12,24,100.0
2026-03-07,1001,12,25,81.4815
2026-03-07,1001,12,17,76.4706
2026-03-07,1002,30,19,100.0
2026-03-07,1002,30,8,89.4737
2026-03-07,1002,30,15,88.8889
2026-03-07,1002,30,2,83.3333
2026-03-07,1002,30,16,100.0
2026-03-07,1002,30,16,100.0
2026-03-07,1002,30,13,96.0
2026-03-07,1002,30,16,100.0
2026-03-07,1002,30,8,89.4737
2026-03-07,1003,46,19,87.5
2026-03-07,1003,46,24,100.0
2026-03-07,1003,46,9,85.7143
2026-03-07,1003,46,24,100.0
2026-03-07,1003,46,11,93.3333
2026-03-07,1003,46,24,100.0
2026-03-07,1003,46,19,87.5
2026-03-07,1003,46,9,85.7143
2026-03-07,1003,46,19,87.5
2026-03-07,1003,46,9,85.7143
2026-03-07,1003,46,24,100.0
2026-03-07,1004,10,14,98.0392
2026-03-07,1004,10,16,87.1429
2026-03-07,1004,10,16,87.1429
2026-03-07,1004,10,13,63.6364
2026-03-07,1004,10,11,96.2963
2026-03-07,1004,10,18,61.1111
2026-03-07,1004,10,4,69.0141
2026-03-07,1004,10,25,90.0
2026-03-07,1004,10,5,78.3333
2026-03-07,1005,16,18,72.0588
2026-03-07,1005,16,11,67.7419
2026-03-07,1005,16,18,72.0588
2026-03-07,1005,16,14,64.2857
2026-03-07,1005,16,13,63.8889
2026-03-07,1005,16,14,64.2857
2026-03-07,1005,16,4,100.0
2026-03-07,1005,16,18,72.0588
2026-03-07,1006,8,17,19.2982
2026-03-07,1006,8,8,15.0
2026-03-07,1006,8,12,21.875
2026-03-07,1006,8,11,10.7143
2026-03-07,1006,8,4,21.3333
2026-03-07,1006,8,9,14.7059
2026-03-07,1006,8,10,22.5352
2026-03-07,1006,8,13,18.0556
2026-03-07,1006,8,1,46.0
2026-03-07,1006,8,15,28.3582
2026-03-07,1006,8,5,9.2308
2026-03-07,1006,8,23,15.6863
