date,split,total,defect,defect_rate,health_mean,proba_mean
2025-10-01,train,66,3,4.55,0.000291,0.066151
2025-10-02,train,66,4,6.06,0.000145,0.069727
2025-10-03,train,65,5,7.69,0.000291,0.081618
2025-10-04,train,66,6,9.09,0.000377,0.085733
2025-10-05,train,65,4,6.15,0.000282,0.089444
2025-10-06,train,66,1,1.52,3.4e-05,0.104563
2025-10-07,train,66,0,0.0,0.0,0.086237
2025-10-08,train,65,0,0.0,0.0,0.094292
2025-10-09,train,66,1,1.52,0.00039,0.062878
2025-10-10,train,65,0,0.0,0.0,0.065775
2025-10-11,train,66,2,3.03,0.000239,0.073802
2025-10-12,train,65,8,12.31,0.000788,0.091076
2025-10-13,train,66,2,3.03,8.7e-05,0.071385
2025-10-14,train,66,10,15.15,0.000885,0.096332
2025-10-15,train,65,11,16.92,0.001054,0.093036
2025-10-16,train,66,9,13.64,0.001376,0.064925
2025-10-17,train,65,6,9.23,0.0006,0.096025
2025-10-18,train,66,0,0.0,0.0,0.042834
2025-10-19,train,65,1,1.54,0.0001,0.078549
2025-10-20,train,66,0,0.0,0.0,0.087073
2025-10-21,train,66,2,3.03,0.000235,0.072594
2025-10-22,train,65,1,1.54,4.5e-05,0.103738
2025-10-23,train,66,0,0.0,0.0,0.078895
2025-10-24,train,65,1,1.54,4.5e-05,0.059474
2025-10-25,train,66,0,0.0,0.0,0.073343
2025-10-26,train,65,0,0.0,0.0,0.082206
2025-10-27,train,66,1,1.52,8.7e-05,0.064134
2025-10-28,train,66,7,10.61,0.000734,0.083795
2025-10-29,train,65,1,1.54,0.000116,0.066338
2025-10-30,train,66,3,4.55,0.000173,0.078833
2025-10-31,train,65,3,4.62,0.000318,0.053494
2025-11-01,train,66,1,1.52,0.000106,0.082241
2025-11-02,train,65,0,0.0,0.0,0.065005
2025-11-03,train,66,0,0.0,0.0,0.140595
2025-11-04,train,66,1,1.52,8.2e-05,0.086625
2025-11-05,train,65,1,1.54,0.00025,0.075638
2025-11-06,train,66,0,0.0,0.0,0.069489
2025-11-07,train,65,0,0.0,0.0,0.073859
2025-11-08,train,66,0,0.0,0.0,0.117477
2025-11-09,train,65,0,0.0,0.0,0.112697
2025-11-10,train,66,0,0.0,0.0,0.076665
2025-11-11,train,66,1,1.52,5.2e-05,0.112943
2025-11-12,train,65,0,0.0,0.0,0.108743
2025-11-13,train,66,1,1.52,0.000186,0.093424
2025-11-14,train,65,2,3.08,0.000107,0.089634
2025-11-15,train,66,1,1.52,5.3e-05,0.043827
2025-11-16,train,65,0,0.0,0.0,0.096928
2025-11-17,train,66,3,4.55,0.000553,0.067351
2025-11-18,train,66,10,15.15,0.000524,0.091572
2025-11-19,train,65,8,12.31,0.000698,0.102254
2025-11-20,train,66,5,7.58,0.000737,0.093028
2025-11-21,train,65,9,13.85,0.000691,0.121081
2025-11-22,train,66,6,9.09,0.00058,0.095679
2025-11-23,train,65,0,0.0,0.0,0.099313
2025-11-24,train,66,0,0.0,0.0,0.103129
2025-11-25,train,66,9,13.64,0.000783,0.058735
2025-11-26,train,65,18,27.69,0.002019,0.145476
2025-11-27,train,66,11,16.67,0.001078,0.099198
2025-11-28,train,65,9,13.85,0.000894,0.081148
2025-11-29,train,66,10,15.15,0.000882,0.076111
2025-11-30,train,65,4,6.15,0.000456,0.101358
2025-12-01,train,66,4,6.06,0.000207,0.083556
2025-12-02,train,66,0,0.0,0.0,0.083739
2025-12-03,train,65,7,10.77,0.000417,0.116025
2025-12-04,train,66,3,4.55,0.000103,0.101169
