lot,pattern,n_dies,n_wafers,risk_ratio,avg_pred,max_pred
1,edge,925,21,0.090811,0.000291,0.000943
2,normal,916,20,0.053493,0.000747,0.000892
3,normal,912,19,0.0,0.000688,0.000835
4,nearfull,923,15,0.690141,0.000849,0.000923
5,random,935,18,0.537968,0.000844,0.000902
6,nearfull,915,12,0.569399,0.00084,0.000908
7,random,884,12,0.251131,0.000821,0.000902
8,nearfull,930,22,0.868817,0.000879,0.000932
9,normal,902,13,0.0,0.000755,0.000846
10,normal,929,22,0.048439,0.000754,0.000875
11,normal,773,18,0.028461,0.000583,0.000894
12,normal,875,12,0.072,0.000758,0.0009
13,random,896,13,0.178571,0.000804,0.000893
14,random,933,20,0.324759,0.000821,0.000942
15,edge,927,19,0.007551,0.000377,0.000889
16,random,920,15,0.176087,0.00075,0.000909
17,random,909,19,0.534653,0.000841,0.00093
18,normal,844,8,0.001185,0.000716,0.000852
19,normal,640,4,0.0,0.000731,0.000844
20,normal,631,4,0.00317,0.000519,0.000854
21,normal,859,9,0.048894,0.000717,0.000888
22,random,877,13,0.223489,0.00074,0.000893
23,normal,916,21,0.0,0.000703,0.000839
24,normal,928,21,0.023707,0.00079,0.000908
25,nearfull,926,25,0.971922,0.00089,0.000941
26,normal,875,10,0.0,0.000579,0.000819
27,normal,839,7,0.004768,0.000633,0.00086
28,normal,925,19,0.0,0.000655,0.000846
