run_id,wafer_no,total_dies,risk_dies,avg_ppm
1,1,60,4,591.4
1,2,68,5,811.8
1,4,61,4,626.8
1,5,62,5,656.8
1,6,69,6,665.4
1,7,55,0,411.9
1,8,68,2,518.6
1,10,63,3,502.0
1,11,51,2,507.7
1,12,57,1,674.5
1,13,61,1,610.4
1,14,51,2,473.4
1,16,62,3,528.8
1,17,75,2,802.2
1,18,61,1,646.8
1,19,59,4,637.1
1,20,49,5,789.8
1,22,63,4,610.8
1,23,64,6,649.0
1,24,62,3,532.4
1,25,63,3,652.6
2,1,66,2,3013.7
2,2,74,1,2985.5
2,3,65,19,3106.6
2,4,60,1,3081.3
2,5,53,24,3167.1
2,7,67,0,1883.7
2,8,49,3,2666.5
2,9,61,0,1583.3
2,10,63,0,1408.3
2,11,73,0,1712.0
2,13,59,0,2641.9
2,14,70,5,2713.3
2,15,61,0,2677.4
2,16,59,0,2300.3
2,17,66,4,3096.2
2,19,61,0,1695.0
2,20,49,0,2855.9
2,21,62,0,1392.0
2,22,63,0,3001.8
2,23,68,0,2866.1
3,2,60,1,2798.5
3,3,50,0,1183.2
3,4,55,0,2777.4
3,6,59,0,2037.2
3,8,59,0,2028.6
3,9,78,0,1954.6
3,10,67,0,2921.6
3,11,58,0,2753.7
3,12,61,0,2793.5
3,14,48,0,2559.0
3,15,52,0,2366.6
3,16,43,0,2258.1
3,17,46,0,2332.3
3,18,47,7,3050.8
3,20,75,0,2842.3
3,21,80,0,2766.0
3,22,58,0,2146.1
3,23,54,0,2342.9
3,24,64,0,2791.6
4,5,65,12,3056.5
4,10,58,51,3400.2
4,12,63,33,3199.6
4,13,70,38,3254.3
4,14,85,72,3403.3
4,15,67,56,3373.0
4,16,57,31,3330.1
4,17,66,38,3194.5
4,18,70,50,3336.6
4,19,72,26,3150.6
4,20,66,37,3217.6
4,21,69,31,3242.7
4,22,56,17,3162.2
4,23,57,38,3306.9
4,25,59,29,3175.2
5,2,64,35,3301.1
5,3,76,59,3337.9
5,4,68,54,3310.5
5,5,70,65,3411.9
5,7,62,25,3266.5
5,8,64,41,3175.3
5,9,72,56,3354.9
5,10,71,57,3360.3
5,11,65,41,3311.9
5,14,70,43,3325.8
5,15,57,30,3305.2
5,16,65,20,3214.9
5,19,65,34,3308.9
5,20,80,2,3054.6
5,21,67,35,3252.9
5,22,57,13,3091.6
5,23,52,1,2973.2
5,25,67,57,3376.3
6,6,68,41,3140.3
6,7,59,23,3210.9
6,10,71,58,3313.6
6,11,67,57,3370.5
6,12,80,22,3150.0
6,13,64,51,3382.9
6,17,65,52,3377.8
6,18,67,63,3429.3
6,19,78,41,3096.6
6,20,59,34,3244.2
6,21,71,57,3343.3
6,22,69,16,2992.4
7,1,45,29,3333.1
7,3,71,38,3323.1
7,4,69,1,3000.5
7,5,59,33,3270.4
7,10,62,41,3314.0
7,11,68,25,3195.0
7,16,48,4,3048.6
7,17,46,2,2994.3
7,21,74,31,3228.4
7,22,67,4,2846.7
7,23,56,45,3348.0
7,24,66,28,3225.6
8,1,50,0,2680.4
8,2,79,77,3457.5
8,3,68,62,3478.6
8,4,75,70,3444.9
8,5,65,62,3432.4
8,6,56,53,3422.2
8,8,60,58,3478.6
8,9,68,62,3460.9
8,10,71,70,3459.1
8,11,56,55,3455.0
8,12,64,50,3382.6
8,13,72,59,3442.6
8,14,64,62,3455.8
8,15,67,61,3406.6
8,16,58,51,3394.5
8,17,57,46,3410.9
8,18,58,53,3425.6
8,19,52,38,3348.9
8,20,55,52,3409.0
8,21,41,26,3266.0
8,23,51,48,3414.8
8,25,61,45,3357.6
9,2,63,5,3074.9
9,3,68,9,3005.8
9,4,67,9,2936.7
9,5,52,0,1639.1
9,6,71,12,2956.7
9,9,64,0,2331.0
9,11,69,16,3213.5
9,12,61,3,3077.1
9,14,73,0,2939.7
9,15,54,1,2944.4
9,21,74,0,2915.1
9,22,56,0,2834.8
9,24,72,23,3214.4
10,1,68,0,2209.9
10,2,65,0,2680.5
10,3,62,0,2114.4
10,4,71,0,2595.7
10,5,60,1,3114.2
10,6,63,0,1108.1
