ufs_serial,run_id,wafer_no,split,health,reg_pred,risk,grade,anomaly_score,ci_low,ci_high,date
S00000,1,25,train,0.0,0.0003083907467725,LOW,grade1,20.8,0.0,0.011248,2025-10-01
S00001,1,10,test,0.0,0.0003083907467725,LOW,grade1,24.8,0.0,0.011248,2025-11-30
S00002,1,8,train,0.0,0.0003083907467725,LOW,grade1,19.7,0.0,0.011248,2025-10-01
S00003,1,13,train,0.0,0.0003083907467725,LOW,grade1,28.8,0.0,0.011248,2025-10-01
S00004,1,10,train,0.0,0.0003083907467725,LOW,grade1,42.0,0.0,0.011248,2025-10-01
S00005,1,10,val,0.0,0.0003083907467725,LOW,grade1,39.1,0.0,0.011248,2025-11-15
S00006,1,11,val,0.0,0.0003083907467725,LOW,grade1,31.7,0.0,0.011248,2025-11-15
S00007,1,5,val,0.0,0.0003083907467725,LOW,grade1,33.2,0.0,0.011248,2025-11-15
S00008,1,6,val,0.0,0.0003083907467725,LOW,grade1,28.3,0.0,0.011248,2025-11-15
S00009,1,7,train,0.0,0.0003083907467725,LOW,grade1,29.0,0.0,0.011248,2025-10-01
S00010,1,7,val,0.0,0.0003083907467725,LOW,grade1,38.7,0.0,0.011248,2025-11-15
S00011,1,7,val,0.0048346538650479,0.0003083907467725,LOW,grade1,25.4,0.0,0.011248,2025-11-15
S00012,1,20,train,0.0,0.0003083907467725,LOW,grade1,38.2,0.0,0.011248,2025-10-01
S00013,1,22,train,0.0,0.0003083907467725,LOW,grade1,29.5,0.0,0.011248,2025-10-01
S00014,1,20,test,0.0,0.0003083907467725,LOW,grade1,35.0,0.0,0.011248,2025-11-30
S00015,2,4,train,0.0,0.0031511582316098,LOW,grade2,59.7,0.0,0.014091,2025-10-02
S00016,3,8,val,0.0,0.0022423801106705,LOW,grade1,28.1,0.0,0.013182,2025-11-16
S00017,3,3,train,0.0,0.0015556656732942,LOW,grade1,27.7,0.0,0.012495,2025-10-04
S00018,4,16,train,0.0,0.0032178681766979,LOW,grade2,45.2,0.0,0.014158,2025-10-05
S00019,4,22,test,0.0024245439954728,0.003437040955283,MED,grade3,26.5,0.0,0.014377,2025-12-01
S00020,4,22,train,0.0,0.0032564546407677,LOW,grade2,34.3,0.0,0.014196,2025-10-05
S00021,5,25,train,0.0,0.0034350636433942,MED,grade3,42.4,0.0,0.014375,2025-10-07
S00022,6,19,train,0.0,0.0012408516785756,LOW,grade1,45.1,0.0,0.012181,2025-10-09
S00023,4,5,train,0.0,0.002984990123542,LOW,grade1,25.5,0.0,0.013925,2025-10-05
S00024,4,12,train,0.0,0.003478308670325,MED,grade3,32.5,0.0,0.014418,2025-10-05
S00025,4,13,train,0.0,0.0034402574536494,MED,grade3,17.2,0.0,0.01438,2025-10-05
S00026,4,14,train,0.0,0.0034682023704693,MED,grade3,35.0,0.0,0.014408,2025-10-05
S00027,4,5,train,0.0,0.0032117048933753,LOW,grade2,36.5,0.0,0.014151,2025-10-05
S00028,4,16,train,0.0,0.0034491392515603,MED,grade3,24.7,0.0,0.014389,2025-10-05
S00029,5,7,train,0.0,0.0032718108716124,MED,grade3,25.3,0.0,0.014212,2025-10-07
S00030,5,9,val,0.0,0.0032735580962709,MED,grade3,18.4,0.0,0.014213,2025-11-17
S00031,5,8,train,0.0,0.0034546875325927,MED,grade3,34.0,0.0,0.014394,2025-10-07
S00032,5,5,train,0.0024556306573382,0.0034445578113512,MED,grade3,23.8,0.0,0.014384,2025-10-07
S00033,5,25,val,0.0,0.0034519759911946,MED,grade3,29.1,0.0,0.014392,2025-11-17
S00034,5,7,train,0.0,0.0032649342913119,LOW,grade2,30.5,0.0,0.014205,2025-10-07
S00035,5,7,train,0.0,0.0034504597068788,MED,grade3,27.9,0.0,0.01439,2025-10-07
S00036,6,21,test,0.0,0.0032687428043084,LOW,grade2,65.4,0.0,0.014209,2025-12-02
S00037,5,8,train,0.0024203995363741,0.0031175752207278,LOW,grade2,29.7,0.0,0.014057,2025-10-07
