feature,lgbm_gain,lgbm_rank
X1064,607.2181690216064,1
X727,589.9462488651276,2
X1066,579.8039366722107,3
X1070,570.6219999313355,4
X1071,505.07270469665525,5
X1049,477.8140149116516,6
X726,435.0599267959595,7
X718,394.8687033176422,8
X995,389.3994533538818,9
X592,366.3570691108704,10
X831,352.0737253189087,11
die_y,331.66278858184813,12
X1060,322.05160903930664,13
X1003,299.13185873031614,14
X1029,264.8939576148987,15
X1014,254.12944593429566,16
X1063,224.65514888763428,17
X732,223.85862083435057,18
X594,212.42583169937134,19
X768,189.6950224876404,20
X573,188.8680438041687,21
X243,184.63383235931397,22
X1032,179.82060632705688,23
X1068,167.64409227371215,24
X562,154.52468690872192,25
X561,143.02507209777832,26
X722,124.25125799179077,27
X397,122.07332744598389,28
X723,121.71314525604248,29
X588,120.66650638580322,30
X1002,118.20353536605835,31
X999,117.50925455093383,32
X1073,116.98231010437011,33
X400,114.8688304901123,34
X870,112.15384979248047,35
X828,111.56733231544494,36
X824,109.64452228546142,37
X85,108.78002572059631,38
X1083,108.04850149154663,39
X1016,104.5697497367859,40
X893,103.68229312896729,41
X1001,97.55455589294434,42
X1007,93.87978763580323,43
X255,93.2904782295227,44
X589,93.25099468231201,45
X293,92.16873788833618,46
X578,90.96546630859375,47
X1075,88.14259815216064,48
die_x,86.93953762054443,49
X48,84.41377410888671,50
X888,82.81259441375732,51
X689,82.48298625946045,52
X202,82.04868154525757,53
X1076,81.22134561538697,54
X1031,79.77945775985718,55
X294,79.71634006500244,56
X719,76.11068596839905,57
X833,74.31543731689453,58
X155,74.17627825737,59
X1058,73.18613338470459,60
X485,71.50201816558838,61
X295,70.97804698944091,62
X1004,68.31523756980896,63
X854,68.2031322479248,64
X894,68.19758987426758,65
X836,67.98244161605835,66
X1017,67.31242771148682,67
X406,67.09035186767578,68
X660,66.80664572715759,69
X835,64.60255794525146,70
X880,64.39066619873047,71
X886,63.2143217086792,72
X998,63.134527587890624,73
X586,62.0086127281189,74
X34,61.66369438171387,75
X1006,61.406631755828855,76
X649,60.27254009246826,77
X574,59.07579226493836,78
X843,57.93618783950806,79
X240,56.08540573120117,80
X465,55.791526222229,81
X1077,55.78483409881592,82
X1085,55.44917426109314,83
X867,53.30693845748901,84
X60,53.04341831207275,85
X1005,52.68288860321045,86
X1033,52.49824333190918,87
X292,51.90077419281006,88
X581,50.83191623687744,89
X818,50.82114849090576,90
X67,49.90431385040283,91
X19,49.8549599647522,92
X721,49.494072151184085,93
X849,49.0649019241333,94
X856,48.169519901275635,95
X1059,46.784724140167235,96
X486,46.40013198852539,97
X875,46.312418174743655,98
X317,45.79761219024658,99
X389,45.776720237731936,100
X713,45.67549409866333,101
X18,45.52942962646485,102
X582,45.22337589263916,103
X842,45.07611618041992,104
X982,43.849519920349124,105
X550,43.78786830902099,106
X271,43.3614580154419,107
X838,43.199514102935794,108
X29,42.959358310699464,109
X583,42.58252592086792,110
X731,42.576504182815555,111
X601,41.90477781295776,112
X59,41.73446979522705,113
X391,41.3445541381836,114
X56,41.29798803329468,115
X769,40.316786241531375,116
X735,39.75629014968872,117
X738,39.21789207458496,118
X326,39.057159996032716,119
X890,38.93617172241211,120
X590,38.52303228378296,121
X958,37.785020637512204,122
X1015,37.75007200241089,123
X773,37.65168418884277,124
X408,37.395339775085446,125
X608,37.31616020202637,126
X576,37.1903299331665,127
X997,37.09692039489746,128
X632,36.99477634429932,129
X829,36.95972576141357,130
X398,36.04790000915527,131
X874,35.76268043518066,132
X840,35.731649684906,133
X724,34.8418493270874,134
X832,34.7128981590271,135
X1000,34.60943965911865,136
X661,34.59633617401123,137
X752,34.43481960296631,138
X817,34.266037940979004,139
X466,33.276940155029294,140
X802,33.161817932128905,141
X11,33.116234397888185,142
X810,32.850626373291014,143
X560,32.62187013626099,144
X200,31.935667991638184,145
X682,31.91039619445801,146
X895,31.37662000656128,147
X563,30.803162097930908,148
X187,30.669645977020263,149
X403,30.38896026611328,150
X665,30.296881866455077,151
X931,30.23253765106201,152
X396,30.058082008361815,153
X348,29.946755790710448,154
X834,29.840689945220948,155
X110,29.807914352416994,156
X577,28.736179924011232,157
X584,28.711720275878907,158
X76,28.655925941467284,159
X116,28.588895988464355,160
X365,28.4564001083374,161
X664,28.285858058929442,162
X837,28.113890361785888,163
X892,28.036114120483397,164
X877,27.949930000305176,165
X850,27.84562397003174,166
X483,27.631889724731444,167
X629,27.430486011505128,168
X816,27.412627601623534,169
X812,27.310680198669434,170
X580,27.23194580078125,171
X57,27.040203857421876,172
X1018,26.96830987930298,173
X878,26.77400999069214,174
X1030,26.222432231903078,175
X805,26.186100006103516,176
X839,25.735288047790526,177
X830,25.43330011367798,178
X337,25.335191917419433,179
X793,25.291172313690186,180
X807,25.11996784210205,181
X146,24.78101987838745,182
X264,24.712287998199464,183
X932,24.59238204956055,184
X733,24.395819854736327,185
X355,24.08813409805298,186
X753,24.060396194458008,187
X318,23.981667900085448,188
X390,23.547579956054687,189
X571,23.470128059387207,190
X868,22.92046012878418,191
X800,22.69011993408203,192
X113,22.625947952270508,193
X911,22.310499954223634,194
X1008,22.219668006896974,195
X587,21.997740173339842,196
X873,21.919840240478514,197
X191,21.791632175445557,198
X36,21.75700616836548,199
X744,21.735149955749513,200
X748,21.43880615234375,201
X973,21.316147994995116,202
X260,21.20430192947388,203
X857,21.176993942260744,204
X825,20.871328258514403,205
X83,20.702810096740723,206
X887,20.62141008377075,207
X405,20.495605754852296,208
X903,20.452861881256105,209
X985,20.442720031738283,210
X75,20.408289909362793,211
X1081,20.192160034179686,212
X395,20.118882179260254,213
X38,19.997380256652832,214
X399,19.95197982788086,215
X305,19.76470603942871,216
X785,19.75427966117859,217
X128,19.63073797225952,218
X891,19.52082004547119,219
X127,19.40415596961975,220
X863,19.241223907470705,221
X813,19.240400314331055,222
X734,19.206419944763184,223
X376,19.17205982208252,224
X1044,18.99230012893677,225
X361,18.89643802642822,226
X20,18.887276077270506,227
X269,18.748823833465575,228
X388,18.55317783355713,229
X823,18.550911903381348,230
X865,18.261837768554688,231
X79,18.254540252685548,232
X606,18.14217405319214,233
X595,17.973620223999024,234
X881,17.9711820602417,235
X670,17.73160400390625,236
X482,17.71995391845703,237
X585,17.6708420753479,238
X74,17.65639200210571,239
X95,17.601155853271486,240
X820,17.55438575744629,241
X46,17.55328788757324,242
X737,17.473167991638185,243
X929,17.459343814849852,244
X120,17.370614051818848,245
X24,17.364341926574706,246
X63,17.224391746520997,247
X730,17.21246221065521,248
X411,17.182889938354492,249
X497,17.03717975616455,250
X81,17.019066047668456,251
X78,17.009156036376954,252
X844,16.92724189758301,253
X1013,16.736121940612794,254
X55,16.71330394744873,255
X22,16.629784202575685,256
X808,16.565869903564455,257
X853,16.46112003326416,258
X904,16.44254035949707,259
X209,16.3542781829834,260
X784,16.24218006134033,261
X909,16.234583950042726,262
X922,15.827039909362792,263
X190,15.474666213989257,264
X1011,15.452163791656494,265
X121,15.450339984893798,266
X73,15.407782077789307,267
X928,15.381878089904784,268
X806,15.34330415725708,269
X613,15.31809024810791,270
X910,15.214725971221924,271
X760,15.169719791412353,272
X745,15.049137783050536,273
X415,14.86210594177246,274
X80,14.820662117004394,275
X821,14.70057029724121,276
X330,14.67901611328125,277
X739,14.550353908538819,278
X974,14.467291831970215,279
X65,14.283719635009765,280
X122,14.268446159362792,281
X782,14.20846004486084,282
X668,13.917081928253173,283
X267,13.85057191848755,284
X214,13.782690143585205,285
X340,13.720220184326172,286
X678,13.650325870513916,287
X28,13.60099811553955,288
X394,13.599979972839355,289
X145,13.581768035888672,290
X409,13.546270179748536,291
X952,13.541077804565429,292
X54,13.351390075683593,293
X336,13.333952045440673,294
X751,13.124695968627929,295
X749,13.099080085754395,296
X855,12.96194019317627,297
X14,12.673762130737305,298
X40,12.613370132446288,299
X804,12.61121997833252,300
X129,12.490809917449951,301
X811,12.323886108398437,302
X1079,12.17172794342041,303
X174,12.137387943267822,304
X184,12.056488037109375,305
X814,11.95297212600708,306
X203,11.9286376953125,307
X652,11.923765945434571,308
X889,11.878240203857422,309
X177,11.772951984405518,310
X161,11.754178047180176,311
X690,11.747268104553223,312
X45,11.65063190460205,313
X173,11.589010238647461,314
X431,11.54201011657715,315
X851,11.525222015380859,316
X479,11.408557891845703,317
X35,11.332800102233886,318
X885,11.086039924621582,319
X41,11.085551929473876,320
X979,10.936399841308594,321
X923,10.864468002319336,322
X16,10.630981826782227,323
X154,10.627499771118163,324
X27,10.601384162902832,325
X809,10.229168033599853,326
X791,10.211084175109864,327
X1012,10.170281791687012,328
X66,10.134428024291992,329
X495,9.864800071716308,330
X58,9.844708156585693,331
X822,9.774992084503173,332
X815,9.699387741088866,333
X549,9.65961389541626,334
X792,9.614032077789307,335
X720,9.581640243530273,336
X579,9.493844032287598,337
X189,9.42726402282715,338
X5,9.378700065612794,339
X484,9.334775924682617,340
X775,9.291891956329346,341
X847,9.094619750976562,342
X123,9.065819931030273,343
X884,9.04226016998291,344
X42,8.958722114562988,345
X1045,8.793704080581666,346
X764,8.765939903259277,347
X644,8.60876007080078,348
X845,8.460119819641113,349
X798,8.442270088195801,350
X193,8.40930004119873,351
X480,8.282522010803223,352
X801,8.165959930419922,353
X320,8.121867990493774,354
X819,7.969280052185058,355
X166,7.948473930358887,356
X803,7.9178258895874025,357
X650,7.817179870605469,358
X761,7.800959777832031,359
X1042,7.734976196289063,360
X901,7.596713829040527,361
X637,7.515947914123535,362
X788,7.443260192871094,363
X130,7.334540176391601,364
X990,7.331109809875488,365
