die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
12,21,5,0.00246071,0.00305401,0.00037038,1,20.0,2460.7,3054.0,27.005
12,22,2,0.0026647,0.00310619,0.00062437,1,50.0,2664.7,3106.2,27.005
13,19,234,0.00255611,0.00351864,0.0006361,87,37.18,2556.1,3518.6,26.12
13,20,454,0.00241227,0.00386981,0.00095471,118,25.99,2412.3,3869.8,26.043
13,21,574,0.00247127,0.0037345,0.00086107,150,26.13,2471.3,3734.5,26.005
13,22,386,0.00230745,0.00373489,0.00087252,56,14.51,2307.4,3734.9,26.005
13,23,451,0.00257773,0.00395112,0.00084966,146,32.37,2577.7,3951.1,26.043
13,24,145,0.00229447,0.00362614,0.00071204,35,24.14,2294.5,3626.1,26.12
14,18,533,0.0023805,0.00434953,0.00074105,122,22.89,2380.5,4349.5,25.244
14,19,611,0.00258485,0.00388403,0.00076316,164,26.84,2584.8,3884.0,25.125
14,20,549,0.00239957,0.00388908,0.00086112,100,18.21,2399.6,3889.1,25.045
14,21,599,0.00231903,0.00380578,0.00096768,123,20.53,2319.0,3805.8,25.005
14,22,560,0.0024607,0.00395112,0.00089513,133,23.75,2460.7,3951.1,25.005
14,23,469,0.00256747,0.00368278,0.00079292,125,26.65,2567.5,3682.8,25.045
14,24,490,0.0024521,0.00384895,0.00086509,152,31.02,2452.1,3849.0,25.125
14,25,290,0.00251806,0.00378605,0.00052988,64,22.07,2518.1,3786.0,25.244
15,17,403,0.00234876,0.00362614,0.00077229,104,25.81,2348.8,3626.1,24.418
15,18,509,0.00243057,0.00387155,0.00096547,154,30.26,2430.6,3871.6,24.254
15,19,501,0.00239924,0.0040305,0.0009624,132,26.35,2399.2,4030.5,24.13
15,20,528,0.00251369,0.00384375,0.00082093,126,23.86,2513.7,3843.8,24.047
15,21,637,0.00243313,0.00388908,0.00089293,174,27.32,2433.1,3889.1,24.005
15,22,532,0.00251693,0.00387632,0.00091232,164,30.83,2516.9,3876.3,24.005
15,23,600,0.00239692,0.00374613,0.00088678,136,22.67,2396.9,3746.1,24.047
15,24,624,0.00251725,0.0038845,0.00086979,193,30.93,2517.2,3884.5,24.13
15,25,642,0.0024813,0.0038845,0.0008697,174,27.1,2481.3,3884.5,24.254
15,26,357,0.00216635,0.00361369,0.00071468,60,16.81,2166.4,3613.7,24.418
16,16,56,0.00217907,0.00434953,0.00069799,6,10.71,2179.1,4349.5,23.648
16,17,591,0.00251854,0.00434953,0.0006932,147,24.87,2518.5,4349.5,23.436
16,18,625,0.0024436,0.00389043,0.00095949,190,30.4,2443.6,3890.4,23.265
16,19,563,0.00266293,0.00388403,0.00074741,182,32.33,2662.9,3884.0,23.135
16,20,707,0.00244961,0.00386981,0.00092846,189,26.73,2449.6,3869.8,23.049
16,21,616,0.00245314,0.00386523,0.00092609,185,30.03,2453.1,3865.2,23.005
16,22,487,0.0025503,0.00395112,0.00081784,116,23.82,2550.3,3951.1,23.005
16,23,613,0.0024347,0.00374613,0.00095944,170,27.73,2434.7,3746.1,23.049
16,24,633,0.00249585,0.00384895,0.00082088,233,36.81,2495.8,3849.0,23.135
16,25,478,0.00256976,0.00387126,0.00087687,174,36.4,2569.8,3871.3,23.265
16,26,521,0.00236853,0.0038382,0.00056495,88,16.89,2368.5,3838.2,23.436
16,27,6,0.00243235,0.0031447,0.00096973,2,33.33,2432.4,3144.7,23.648
17,16,515,0.00247,0.00351864,0.0005914,105,20.39,2470.0,3518.6,22.677
17,17,601,0.00244662,0.00385652,0.00096056,195,32.45,2446.6,3856.5,22.456
17,18,743,0.0025991,0.00387155,0.00089492,273,36.74,2599.1,3871.6,22.277
17,19,611,0.00257822,0.0040305,0.00094977,196,32.08,2578.2,4030.5,22.142
17,20,611,0.00256131,0.00384375,0.00087057,196,32.08,2561.3,3843.8,22.051
17,21,591,0.00255471,0.00388908,0.00095447,233,39.42,2554.7,3889.1,22.006
17,22,505,0.00247986,0.00387632,0.00102286,171,33.86,2479.9,3876.3,22.006
17,23,515,0.00226719,0.00374613,0.0010111,140,27.18,2267.2,3746.1,22.051
17,24,657,0.00243214,0.0038845,0.00088295,183,27.85,2432.1,3884.5,22.142
17,25,703,0.0024573,0.00371959,0.00085721,172,24.47,2457.3,3719.6,22.277
17,26,648,0.00248504,0.00377083,0.0009035,203,31.33,2485.0,3770.8,22.456
17,27,506,0.00227972,0.00354816,0.00066544,81,16.01,2279.7,3548.2,22.677
18,15,335,0.00246849,0.00434953,0.00061108,67,20.0,2468.5,4349.5,21.983
18,16,485,0.00249594,0.00375828,0.0008204,112,23.09,2495.9,3758.3,21.708
18,17,485,0.00249867,0.00368957,0.0009042,139,28.66,2498.7,3689.6,21.477
18,18,691,0.00264147,0.00389043,0.00094849,288,41.68,2641.5,3890.4,21.29
18,19,653,0.00265689,0.00388403,0.0009064,278,42.57,2656.9,3884.0,21.148
18,20,560,0.00253469,0.00389772,0.00100117,206,36.79,2534.7,3897.7,21.054
18,21,629,0.0024499,0.00414354,0.00107272,255,40.54,2449.9,4143.5,21.006
18,22,680,0.00248302,0.00395112,0.00087644,154,22.65,2483.0,3951.1,21.006
18,23,588,0.00242614,0.00387608,0.00102652,209,35.54,2426.1,3876.1,21.054
18,24,645,0.0023326,0.0038303,0.00100773,189,29.3,2332.6,3830.3,21.148
18,25,459,0.00263311,0.00387126,0.00083944,178,38.78,2633.1,3871.3,21.29
18,26,661,0.00242973,0.00381365,0.00104453,213,32.22,2429.7,3813.6,21.477
18,27,653,0.00245603,0.00381365,0.00093628,199,30.47,2456.0,3813.6,21.708
18,28,337,0.00241976,0.00362614,0.00059854,77,22.85,2419.8,3626.1,21.983
19,15,598,0.00250381,0.00374776,0.00063892,115,19.23,2503.8,3747.8,21.03
19,16,639,0.00253266,0.00385652,0.0008646,231,36.15,2532.7,3856.5,20.742
19,17,739,0.00249741,0.00385652,0.00088578,249,33.69,2497.4,3856.5,20.5
19,18,745,0.00259066,0.00383715,0.00097651,290,38.93,2590.7,3837.2,20.304
19,19,599,0.00256406,0.0040305,0.00101635,234,39.07,2564.1,4030.5,20.156
19,20,645,0.0025988,0.00389772,0.00086865,201,31.16,2598.8,3897.7,20.056
19,21,693,0.00256538,0.00414354,0.00099503,275,39.68,2565.4,4143.5,20.006
19,22,649,0.0024177,0.00373489,0.00108222,237,36.52,2417.7,3734.9,20.006
19,23,516,0.00237584,0.00387608,0.00104923,178,34.5,2375.8,3876.1,20.056
19,24,746,0.0024174,0.0038845,0.00104627,292,39.14,2417.4,3884.5,20.156
19,25,559,0.00248193,0.00367065,0.00091254,166,29.7,2481.9,3670.6,20.304
19,26,601,0.0026085,0.00371666,0.00087193,208,34.61,2608.5,3716.7,20.5
19,27,700,0.00249789,0.00393226,0.00091867,217,31.0,2497.9,3932.3,20.742
19,28,534,0.00247094,0.0038382,0.0005763,105,19.66,2470.9,3838.2,21.03
