feature,mean_abs_shap,mean_shap,rank
X727,0.0013469339509022424,-0.0005811023378325793,1
X831,0.0011160312548053795,4.117348794296247e-05,2
X726,0.0008745438286554713,5.163418581881434e-06,3
X718,0.0006698135624999155,-3.073917145354501e-05,4
X1066,0.0006535821466639706,1.2535904987711353e-05,5
X1070,0.0005961218134856662,-2.8550978671862513e-05,6
X1003,0.0005703490125678736,8.332468384178825e-06,7
X1049,0.00046782921608649896,-7.587998603909046e-05,8
X1064,0.0004639001991832304,-8.519037012297047e-06,9
X1071,0.00045048679754794766,1.3768399523119764e-06,10
X592,0.00042896989284035066,3.8605363402878927e-07,11
X400,0.00037889605696723853,-8.706061026168311e-07,12
die_y,0.00035933683538147366,1.5273418361448736e-05,13
X594,0.0003007791908606396,0.00020169863332838344,14
X768,0.0002818368214837658,8.884940212730247e-06,15
X397,0.00027700788643639966,-1.2210116293101923e-06,16
X1029,0.00027118107994997866,-6.8957224718038755e-06,17
X1063,0.0002619846627860899,3.4249696087711614e-06,18
X1014,0.0002473026806448968,-4.158294267221608e-06,19
X1068,0.00023580148746195828,-1.7720955804150053e-06,20
X557,0.00023516947199526926,-1.6719961707664154e-06,21
X982,0.00023387725057848234,-1.939777896220718e-06,22
X1060,0.00022977678430718257,-1.237880998496829e-06,23
X561,0.00021827000232226232,-1.7933837938866425e-05,24
X1032,0.00020625275333414545,-2.6963031487668332e-06,25
X1077,0.00019220171418247095,8.841540461522604e-06,26
X833,0.00018474077299391093,-8.349774259722448e-06,27
X995,0.00018160341747744217,4.807464256924885e-06,28
X293,0.00016638814892803652,-4.386096842520017e-06,29
X732,0.00016614122324764015,-4.9010506488669315e-06,30
die_x,0.0001649686671568515,-5.818387614386678e-07,31
X854,0.00015015980500631993,5.5929342814826135e-06,32
X826,0.00015011867823859235,-2.9400708369078653e-06,33
X856,0.00014648271807306466,-3.569958859739652e-06,34
X722,0.0001427958879700588,8.838934238523664e-06,35
X34,0.0001426063004757748,-4.9655551617679055e-06,36
X870,0.00013514342187635352,-5.4228962389819775e-06,37
X1006,0.00013302211590544217,9.253905495909863e-07,38
X893,0.0001324031010786054,7.078993543139624e-07,39
X240,0.0001323993905145048,2.4546525410915605e-06,40
X572,0.00013015804424881214,-1.84348471994823e-06,41
X842,0.0001293789828614089,-6.517066552801059e-07,42
X1031,0.00012436955103929507,2.178412914309823e-06,43
X583,0.00012340296439359596,-6.741831178045443e-07,44
X243,0.00012266940832629292,1.9168796963431964e-06,45
