ufs_serial,feature,shap_value,feat_norm,rank
S00005,X818,0.006902467071493597,0.0,0
S00006,X818,0.006902467071493597,0.0,0
S00007,X818,0.006902467071493597,0.0,0
S00008,X818,0.006902467071493597,0.0,0
S00010,X818,0.006902467071493597,0.0,0
S00011,X818,0.006902467071493597,0.0,0
S00016,X818,0.006902467071493597,0.0,0
S00030,X818,0.006902467071493597,0.0,0
S00033,X818,0.006902467071493597,0.0,0
S00045,X818,0.006902467071493597,0.0,0
S00046,X818,0.006902467071493597,0.0,0
S00050,X818,0.006902467071493597,0.0,0
S00054,X818,0.006902467071493597,0.0,0
S00055,X818,0.006902467071493597,0.0,0
S00073,X818,0.006902467071493597,0.0,0
S00077,X818,0.006902467071493597,0.0,0
S00083,X818,0.006902467071493597,0.0,0
S00085,X818,0.006902467071493597,0.0,0
S00088,X818,0.006902467071493597,0.0,0
S00089,X818,0.006902467071493597,0.0,0
S00091,X818,0.006902467071493597,0.0,0
S00094,X818,0.006902467071493597,0.0,0
S00104,X818,0.006902467071493597,0.0,0
S00105,X818,0.006902467071493597,0.0,0
S00119,X818,0.006902467071493597,0.0,0
S00140,X818,0.006902467071493597,0.0,0
S00141,X818,0.006902467071493597,0.0,0
S00143,X818,0.006902467071493597,0.0,0
S00147,X818,0.006902467071493597,0.0,0
S00159,X818,0.006902467071493597,0.0,0
S00160,X818,0.006902467071493597,0.0,0
S00161,X818,0.006902467071493597,0.0,0
S00167,X818,0.006902467071493597,0.0,0
S00173,X818,0.006902467071493597,0.0,0
S00182,X818,0.006902467071493597,0.0,0
S00204,X818,0.006902467071493597,0.0,0
S00212,X818,0.006902467071493597,0.0,0
S00213,X818,0.006902467071493597,0.0,0
S00228,X818,0.006902467071493597,0.0,0
S00230,X818,0.006902467071493597,0.0,0
S00232,X818,0.006902467071493597,0.0,0
S00234,X818,0.006902467071493597,0.0,0
S00235,X818,0.006902467071493597,0.0,0
S00236,X818,0.006902467071493597,0.0,0
S00239,X818,0.006902467071493597,0.0,0
