feature,effect_norm,lgbm_gain,lgbm_rank,high_median,med_median
X1064,-0.0848,372.4,1,10.554796,10.840894
X592,0.1366,358.6,2,0.337348,0.157629
X1066,-0.0147,279.8,3,3.30762,3.347266
X1071,-0.1492,247.2,4,7.137151,7.714278
X1068,0.0433,234.0,5,3.155323,3.119754
X727,-0.1264,226.8,6,30.07125,30.5675
X1063,0.0595,203.0,7,24.496398,24.249234
X1060,-0.2123,199.2,8,17.577898,18.353788
X1003,-0.1106,194.4,9,286.2,286.85
X995,-0.026,189.0,10,1770.0,1770.75
X1070,0.3058,176.2,11,85.321406,83.652367
X594,-0.3161,175.2,12,1401.5,1485.0
X1002,0.1949,163.6,13,2080.0,2061.375
X718,-0.1646,151.8,14,999.5,1009.0
X726,0.0761,141.0,15,1022.75,1018.75
X1001,-0.1994,127.6,16,2687.5,2703.5
X1029,0.2236,113.0,17,0.4794,0.475938
X1076,0.0,110.8,18,3.0,3.0
X999,-0.4517,105.8,20,603.0,641.75
X732,0.3562,99.6,21,159.5,145.5
