lot,date,feature,mean_shap
1,2025-10-01,Column_130,0.047196047586070246
2,2025-10-02,Column_130,0.04501099140400598
3,2025-10-04,Column_130,0.050372762220642776
4,2025-10-05,Column_130,0.05391942158355975
5,2025-10-07,Column_130,0.04810172863726331
6,2025-10-09,Column_130,0.04971419241630797
7,2025-10-10,Column_130,0.046858185160055854
8,2025-10-12,Column_130,0.042084547218851874
9,2025-10-13,Column_130,0.04939453988713528
10,2025-10-15,Column_130,0.051856404350889986
11,2025-10-17,Column_130,0.044008431978744274
12,2025-10-18,Column_130,0.04777710903910377
13,2025-10-20,Column_130,0.050993880221769074
14,2025-10-21,Column_130,0.05116824778635731
15,2025-10-23,Column_130,0.045562786621475754
16,2025-10-25,Column_130,0.04885830025136148
17,2025-10-26,Column_130,0.047257318154184824
18,2025-10-28,Column_130,0.04339323754949659
19,2025-10-29,Column_130,0.04228498265236014
20,2025-10-31,Column_130,0.05068434921093291
21,2025-11-02,Column_130,0.043569663557122856
22,2025-11-03,Column_130,0.04630885870477637
23,2025-11-05,Column_130,0.043562213234046965
24,2025-11-06,Column_130,0.04755805681915466
25,2025-11-08,Column_130,0.0431763961554344
26,2025-11-10,Column_130,0.04813882870353532
27,2025-11-11,Column_130,0.05132222531700868
28,2025-11-13,Column_130,0.042628130866815495
29,2025-11-15,Column_130,0.04734448325733393
30,2025-11-15,Column_130,0.04671487156504202
31,2025-11-16,Column_130,0.04972368334432323
32,2025-11-16,Column_130,0.0497217689808939
33,2025-11-17,Column_130,0.046662262117389885
34,2025-11-17,Column_130,0.04770364878448542
35,2025-11-18,Column_130,0.04328268904603607
36,2025-11-18,Column_130,0.04068188278942476
37,2025-11-19,Column_130,0.048402750909086974
38,2025-11-19,Column_130,0.04948741738121699
39,2025-11-20,Column_130,0.041194245588952454
40,2025-11-20,Column_130,0.04715014415777016
41,2025-11-21,Column_130,0.049687448278866675
42,2025-11-21,Column_130,0.04603518546321483
43,2025-11-22,Column_130,0.04632865896253592
44,2025-11-23,Column_130,0.045831723603603707
45,2025-11-23,Column_130,0.049165384290973356
46,2025-11-24,Column_130,0.04598040639174643
47,2025-11-24,Column_130,0.044083940445158135
48,2025-11-25,Column_130,0.05142452429837569
49,2025-11-25,Column_130,0.048916285557146964
50,2025-11-26,Column_130,0.04603673100744655
51,2025-11-26,Column_130,0.04589931561547254
52,2025-11-27,Column_130,0.046693945196409015
53,2025-11-27,Column_130,0.04650810268915797
54,2025-11-28,Column_130,0.04672224752059945
55,2025-11-28,Column_130,0.04733344855297403
56,2025-11-29,Column_130,0.045388549738293364
1,2025-10-01,Column_269,-0.09685314548568051
2,2025-10-02,Column_269,-0.09760012210351515
3,2025-10-04,Column_269,-0.09614490745221732
4,2025-10-05,Column_269,-0.09646710752905154
5,2025-10-07,Column_269,-0.0961768745123357
6,2025-10-09,Column_269,-0.09719798794372388
7,2025-10-10,Column_269,-0.09582764788730401
8,2025-10-12,Column_269,-0.09473927689805488
9,2025-10-13,Column_269,-0.09753283030342993
10,2025-10-15,Column_269,-0.09691976830743886
11,2025-10-17,Column_269,-0.0976578103274842
12,2025-10-18,Column_269,-0.09698501127269822
13,2025-10-20,Column_269,-0.09659149319450834
14,2025-10-21,Column_269,-0.09756252832577911
15,2025-10-23,Column_269,-0.09722158639697188
16,2025-10-25,Column_269,-0.09563653786811217
17,2025-10-26,Column_269,-0.09622686031878092
18,2025-10-28,Column_269,-0.09701537491151307
19,2025-10-29,Column_269,-0.09581793820510727
20,2025-10-31,Column_269,-0.09673653365924133
21,2025-11-02,Column_269,-0.09537554911917284
22,2025-11-03,Column_269,-0.09639784226515842
23,2025-11-05,Column_269,-0.0975042630128994
24,2025-11-06,Column_269,-0.09616235116274617
25,2025-11-08,Column_269,-0.09506254508623808
26,2025-11-10,Column_269,-0.09750555592653194
27,2025-11-11,Column_269,-0.0961328122528249
28,2025-11-13,Column_269,-0.09657880967923389
29,2025-11-15,Column_269,-0.09678031134194791
30,2025-11-15,Column_269,-0.09759866563928989
31,2025-11-16,Column_269,-0.09617457438096907
32,2025-11-16,Column_269,-0.09678534372953398
33,2025-11-17,Column_269,-0.09588132329768323
34,2025-11-17,Column_269,-0.09692472444443341
35,2025-11-18,Column_269,-0.09580417475983329
36,2025-11-18,Column_269,-0.09461868736352128
37,2025-11-19,Column_269,-0.09743643861685668
38,2025-11-19,Column_269,-0.09684760152558752
39,2025-11-20,Column_269,-0.09789508335964753
40,2025-11-20,Column_269,-0.09698023113708426
41,2025-11-21,Column_269,-0.09669520527075805
42,2025-11-21,Column_269,-0.09758373830626005
43,2025-11-22,Column_269,-0.0972059994831182
44,2025-11-23,Column_269,-0.09574971119016608
45,2025-11-23,Column_269,-0.09638180183898518
46,2025-11-24,Column_269,-0.09708345483139602
47,2025-11-24,Column_269,-0.09581787831779912
48,2025-11-25,Column_269,-0.09545372091791138
49,2025-11-25,Column_269,-0.0953028315339676
50,2025-11-26,Column_269,-0.09621841892148134
51,2025-11-26,Column_269,-0.09744952023665092
52,2025-11-27,Column_269,-0.09644693317262894
53,2025-11-27,Column_269,-0.09521761724333459
54,2025-11-28,Column_269,-0.09750535974124366
55,2025-11-28,Column_269,-0.09629987537035073
56,2025-11-29,Column_269,-0.09672023003727466
1,2025-10-01,Column_288,-0.05298879451849647
2,2025-10-02,Column_288,-0.053924186747053904
3,2025-10-04,Column_288,-0.051368240379961405
4,2025-10-05,Column_288,-0.052048065596706945
5,2025-10-07,Column_288,-0.0521094915300862
6,2025-10-09,Column_288,-0.052566944687711704
7,2025-10-10,Column_288,-0.05157026283580185
8,2025-10-12,Column_288,-0.050091907125289804
9,2025-10-13,Column_288,-0.05273901274661957
10,2025-10-15,Column_288,-0.05212339756475331
11,2025-10-17,Column_288,-0.05388538045339682
12,2025-10-18,Column_288,-0.052707785377500274
13,2025-10-20,Column_288,-0.052773580299952744
14,2025-10-21,Column_288,-0.05290665371450853
15,2025-10-23,Column_288,-0.05314139771139416
16,2025-10-25,Column_288,-0.051415200473579975
17,2025-10-26,Column_288,-0.05160556491514084
18,2025-10-28,Column_288,-0.05356696777405611
19,2025-10-29,Column_288,-0.051533848525250836
20,2025-10-31,Column_288,-0.05303460001141123
21,2025-11-02,Column_288,-0.05130578222092287
22,2025-11-03,Column_288,-0.05217862292930166
23,2025-11-05,Column_288,-0.05397586137398003
24,2025-11-06,Column_288,-0.051916162666642264
25,2025-11-08,Column_288,-0.05019304616314577
26,2025-11-10,Column_288,-0.054131740606786244
27,2025-11-11,Column_288,-0.05209032066610071
28,2025-11-13,Column_288,-0.052950521987588414
29,2025-11-15,Column_288,-0.05313745924721392
30,2025-11-15,Column_288,-0.05388145485271762
31,2025-11-16,Column_288,-0.051459335774151044
32,2025-11-16,Column_288,-0.052577931690489105
33,2025-11-17,Column_288,-0.05188440769644519
34,2025-11-17,Column_288,-0.05240367817813243
35,2025-11-18,Column_288,-0.05148292391035417
36,2025-11-18,Column_288,-0.05016155815457897
37,2025-11-19,Column_288,-0.05259113083306259
38,2025-11-19,Column_288,-0.052387027587075426
39,2025-11-20,Column_288,-0.05417081304451644
40,2025-11-20,Column_288,-0.05255413012384811
41,2025-11-21,Column_288,-0.05282153982613277
42,2025-11-21,Column_288,-0.05331407798040732
