ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split
S00000,1,25,2025-10-01,24,25,0.0005082682389872,0.0,0.1360612025182647,train
S00002,1,8,2025-10-01,37,24,0.0002736912222133,0.0,0.1478115720100636,train
S00003,1,13,2025-10-01,34,27,0.0007930896421174,0.0,0.2462629739046149,train
S00004,1,10,2025-10-01,22,15,0.0005548057052188,0.0,0.0935457989710955,train
S00009,1,7,2025-10-01,41,19,0.0005913883874332,0.0,0.1551693259053801,train
S00012,1,20,2025-10-01,50,26,0.0004440753959461,0.0,0.136106944529165,train
S00013,1,22,2025-10-01,24,20,0.0003278301851752,0.0,0.0920693862795238,train
S00015,2,4,2025-10-02,49,31,0.0010018447344413,0.0,0.400256452804537,train
S00017,3,3,2025-10-04,19,16,0.0020286257542203,0.0,0.347779876408808,train
S00018,4,16,2025-10-05,17,20,0.0023348335101751,0.0,0.3713197810144841,train
S00020,4,22,2025-10-05,63,22,0.0028611383501735,0.0,0.3955456918724791,train
S00021,5,25,2025-10-07,33,23,0.0031592159246895,0.0,0.5182254680855071,train
S00022,6,19,2025-10-09,42,14,0.0019001849791503,0.0,0.294687000288738,train
S00023,4,5,2025-10-05,58,18,0.0020378130304762,0.0,0.4011178034218856,train
S00024,4,12,2025-10-05,32,17,0.0027960458768716,0.0,0.4695962693022287,train
S00025,4,13,2025-10-05,45,17,0.0027550587809974,0.0,0.4431773323015363,train
S00026,4,14,2025-10-05,35,23,0.004393316302444,0.0,0.4467889252100074,train
S00027,4,5,2025-10-05,58,21,0.0021859165128048,0.0,0.4502620064580998,train
S00028,4,16,2025-10-05,58,21,0.0024771279152076,0.0,0.460950827536721,train
S00029,5,7,2025-10-07,52,18,0.0024399708031343,0.0,0.3804704425166315,train
S00031,5,8,2025-10-07,26,15,0.0025662397292795,0.0,0.4667880280842511,train
S00032,5,5,2025-10-07,36,15,0.0038540461354478,0.0024556306573382,0.4955441680664262,train
S00034,5,7,2025-10-07,41,27,0.0021977482376344,0.0,0.4647624848709588,train
S00035,5,7,2025-10-07,30,25,0.0029117230131709,0.0,0.5098237769197331,train
S00037,5,8,2025-10-07,47,19,0.0024587002188095,0.0024203995363741,0.4363959741345857,train
S00038,4,14,2025-10-05,50,14,0.0035779265152596,0.0,0.4699059720908254,train
S00039,7,11,2025-10-10,28,31,0.0018868005317966,0.0024294149851399,0.3100543772921681,train
S00041,5,23,2025-10-07,41,11,0.0028414987711023,0.0024488066378919,0.4609829987797369,train
S00042,8,16,2025-10-12,21,29,0.0025818833934914,0.0024355223631917,0.474290933787887,train
S00043,9,3,2025-10-13,54,30,0.00191861829866,0.0,0.3321877906931319,train
S00044,10,3,2025-10-15,57,14,0.0017598999527137,0.0,0.3211841791182853,train
S00047,5,21,2025-10-07,17,27,0.0022321066238356,0.0024454088310256,0.4015872302302372,train
S00049,4,15,2025-10-05,41,11,0.0021595338065417,0.0,0.3338437792646802,train
S00051,12,21,2025-10-18,22,29,0.0020157569811868,0.0023918839575332,0.3398394708213716,train
S00052,12,20,2025-10-18,50,12,0.0014427253578994,0.0,0.3680105381172223,train
S00056,12,18,2025-10-18,45,11,0.0025868614830005,0.0024112401634015,0.4108590001780659,train
S00057,15,24,2025-10-23,59,15,0.0017869759357654,0.0,0.2949609773064609,train
S00058,12,18,2025-10-18,16,26,0.0025427824451832,0.0,0.4753370758905649,train
S00059,14,13,2025-10-21,17,27,0.0016779042292001,0.00240752581914,0.3688253568385494,train
S00061,16,18,2025-10-25,56,14,0.002959118911232,0.0,0.4057606528737076,train
S00062,16,15,2025-10-25,42,16,0.0018991664779248,0.0,0.3807501176493092,train
S00063,16,18,2025-10-25,44,28,0.0025612904078033,0.0,0.3774804926856659,train
S00064,16,11,2025-10-25,27,14,0.002856773504641,0.0,0.3921971810214597,train
S00065,16,13,2025-10-25,43,15,0.0026234377795117,0.0,0.4044160052721348,train
S00068,16,14,2025-10-25,26,20,0.0029219530722616,0.0096413121496052,0.4041265943245672,train
S00069,13,8,2025-10-20,41,16,0.0037289683440955,0.0024141213958187,0.3935170693449594,train
S00071,16,13,2025-10-25,30,26,0.0033548129400918,0.0,0.4972139373522424,train
S00072,13,10,2025-10-20,49,25,0.0029977306840701,0.0,0.4286045520348201,train
S00075,13,6,2025-10-20,37,16,0.0025401934184429,0.0,0.3563395923547414,train
S00079,13,4,2025-10-20,27,19,0.003518111992066,0.0,0.4035650143866525,train
S00080,13,10,2025-10-20,34,31,0.0023239132689095,0.0024551575598599,0.4607416687687211,train
S00081,13,5,2025-10-20,31,25,0.0030310931536317,0.0048692551117381,0.4318530070172241,train
S00084,5,21,2025-10-07,17,18,0.0031879529325108,0.0,0.4886778465777884,train
S00086,5,20,2025-10-07,42,12,0.0036176781136457,0.0,0.4640691051958137,train
S00087,6,13,2025-10-09,32,29,0.0027390791802429,0.0071833265884257,0.3750312795669042,train
S00092,4,22,2025-10-05,33,16,0.0031560861824219,0.0,0.4240773469509853,train
S00096,5,19,2025-10-07,42,16,0.0029696346380407,0.0,0.4694669606476969,train
S00098,5,9,2025-10-07,61,16,0.0031035761507591,0.0,0.4843201980453601,train
S00099,6,7,2025-10-09,33,16,0.0032820076244284,0.002429023161249,0.3545684574957035,train
S00101,6,12,2025-10-09,36,19,0.001814389022352,0.0047811447811447,0.4131774789509068,train
S00103,4,18,2025-10-05,48,19,0.0032902216592754,0.0023947190902958,0.4274473853881521,train
S00106,6,18,2025-10-09,38,23,0.0029717515752357,0.0,0.4964204618286854,train
S00108,6,10,2025-10-09,54,18,0.0038592758114828,0.0,0.4877377799788129,train
S00109,7,11,2025-10-10,43,18,0.0018655051513817,0.0024466006035276,0.404836519820908,train
S00111,6,10,2025-10-09,55,15,0.0030555610006424,0.0,0.4736468403163273,train
S00113,6,11,2025-10-09,51,20,0.0031522103058822,0.0,0.4792393844094194,train
S00114,5,25,2025-10-07,46,27,0.003376097057839,0.0,0.3345378664919131,train
S00116,7,5,2025-10-10,51,22,0.0026156236486328,0.0,0.4425750097738052,train
S00120,7,16,2025-10-10,30,16,0.0028836850852232,0.0,0.3725580819982705,train
S00121,6,17,2025-10-09,50,27,0.0031567510023843,0.0,0.4992705902645496,train
S00122,7,16,2025-10-10,18,16,0.0031077826055674,0.0,0.4356181766348648,train
S00123,7,24,2025-10-10,29,23,0.0019238102673291,0.0120079634300735,0.3833848268286325,train
S00124,6,17,2025-10-09,31,19,0.0034182279695708,0.0,0.515551478441111,train
S00126,18,6,2025-10-28,56,26,0.0021967599438259,0.0145181549966406,0.3338211961771978,train
S00127,18,11,2025-10-28,44,20,0.002837924967905,0.0,0.4096543624287325,train
S00128,18,19,2025-10-28,43,26,0.0023186042570986,0.0023878847281078,0.4080698976921229,train
S00129,18,24,2025-10-28,13,21,0.0016716419288633,0.0071621056878935,0.2623198471675863,train
S00130,18,9,2025-10-28,33,16,0.0019103601038981,0.0048756321399316,0.3954464934492658,train
S00131,18,3,2025-10-28,63,24,0.0029385915087397,0.0,0.382514794969931,train
S00132,18,9,2025-10-28,37,26,0.001936543348545,0.0,0.4192187625860753,train
S00133,18,9,2025-10-28,35,15,0.0018329233260902,0.0,0.4005383194628709,train
S00134,18,11,2025-10-28,39,25,0.0035552202171212,0.0,0.4030205773711026,train
S00135,19,24,2025-10-29,27,14,0.0036078459106114,0.0024002704530087,0.385280753897413,train
S00136,2,22,2025-10-02,29,23,0.0020458298537765,0.0024124339857098,0.4225312416547274,train
S00137,2,1,2025-10-02,62,25,0.0025923735818108,0.0,0.4022351482614197,train
S00138,10,20,2025-10-15,36,24,0.0018259469970552,0.0024209654634906,0.3532263036321013,train
S00139,19,24,2025-10-29,19,25,0.0036066258460501,0.0023857183316292,0.3953287404940051,train
S00142,2,17,2025-10-02,25,28,0.0031097494102014,0.0023883666839667,0.446617735150753,train
S00144,21,8,2025-11-02,25,17,0.0029724808633286,0.0,0.406778080585014,train
S00145,2,17,2025-10-02,60,25,0.0027119944899356,0.0048074365336157,0.3564823314256992,train
S00146,2,1,2025-10-02,48,16,0.0029474238862439,0.0,0.44448872154935,train
S00148,2,17,2025-10-02,21,22,0.0022898350264184,0.0023848940713548,0.3944984733660228,train
S00149,2,17,2025-10-02,45,19,0.0027656479583987,0.0,0.3911111785222309,train
S00150,21,10,2025-11-02,45,21,0.0005479204857831,0.0024284534611569,0.2632800954851461,train
S00151,2,9,2025-10-02,37,22,0.001594769010948,0.0,0.3580555364186875,train
S00152,18,25,2025-10-28,45,27,0.0010086767393831,0.0,0.1837721390125227,train
S00153,2,7,2025-10-02,47,24,0.0013640615024947,0.0,0.2766406001480286,train
S00154,2,15,2025-10-02,48,24,0.0024737900920335,0.0024048348309115,0.3640940296436561,train
S00155,2,10,2025-10-02,39,13,0.0016301194289799,0.0,0.3407063531917152,train
S00156,2,11,2025-10-02,25,17,0.0020297687312253,0.0,0.2475368604525607,train
S00157,10,7,2025-10-15,29,17,0.0016849584525281,0.0023905723905723,0.311426500413893,train
S00158,2,11,2025-10-02,39,30,0.001792478513021,0.0,0.3488853205035582,train
S00162,2,23,2025-10-02,16,22,0.0019843430369754,0.0,0.3638794217694383,train
S00164,18,19,2025-10-28,41,12,0.0015917240042555,0.0,0.3231097694187341,train
S00165,2,23,2025-10-02,55,25,0.0018480201213536,0.0,0.3668827529704397,train
S00166,2,23,2025-10-02,33,21,0.0022759314285295,0.0,0.3393647533514355,train
S00168,8,10,2025-10-12,25,22,0.0027515728128993,0.0044468304030778,0.450681471872564,train
S00169,8,5,2025-10-12,44,15,0.0040797228504567,0.002185201306724,0.4583074469262548,train
S00170,8,5,2025-10-12,32,12,0.0030575125123483,0.0,0.439163590280806,train
S00171,8,10,2025-10-12,37,22,0.0027106905435083,0.002232734493277,0.4447796186908639,train
S00174,8,20,2025-10-12,40,22,0.0042203568218625,0.0,0.4213894702572627,train
S00175,8,21,2025-10-12,46,13,0.0024270573816834,0.0,0.5052483683299892,train
S00177,22,19,2025-11-03,40,29,0.0032836010927887,0.0043713251623854,0.4446511089394104,train
S00178,22,19,2025-11-03,46,28,0.0027840224091753,0.0,0.4293034355072556,train
S00180,22,22,2025-11-03,54,28,0.0019547871185085,0.0,0.3656195059933805,train
S00181,22,22,2025-11-03,33,20,0.0027785247508871,0.0,0.3702418913728323,train
S00183,22,22,2025-11-03,55,14,0.0015191375827392,0.0,0.304153772831212,train
S00185,22,24,2025-11-03,54,16,0.0026706975670442,0.0,0.4679486100290678,train
S00186,22,25,2025-11-03,55,25,0.0026812563559055,0.0,0.3514533184441937,train
S00187,22,11,2025-11-03,35,14,0.0021401049562208,0.0023849627379564,0.4011624507752714,train
S00188,22,24,2025-11-03,34,12,0.0021388785237503,0.0,0.4015425176647101,train
S00189,22,11,2025-11-03,40,25,0.0014380633338883,0.0,0.3039831356830221,train
S00191,22,9,2025-11-03,31,21,0.0024513279114683,0.0,0.3247457461817107,train
S00192,22,8,2025-11-03,42,14,0.0022666463295674,0.0,0.2941453906753171,train
S00193,22,9,2025-11-03,17,24,0.0023507076112817,0.0,0.3902352222643423,train
S00194,22,8,2025-11-03,47,20,0.0020055825271501,0.0023942345675443,0.248878445891083,train
S00199,9,6,2025-10-13,28,27,0.0031286331584876,0.0,0.3988860699045021,train
S00201,9,6,2025-10-13,35,28,0.0025322868361111,0.0,0.421333998211097,train
S00202,9,6,2025-10-13,40,24,0.0031377028036718,0.0,0.4464420719279222,train
S00205,9,24,2025-10-13,19,24,0.0030396400865216,0.0024191978193146,0.4764855738611041,train
S00206,17,3,2025-10-26,14,20,0.0021388870114619,0.0,0.4036693956907295,train
S00207,17,3,2025-10-26,47,21,0.0028242389013975,0.0024246859373094,0.4070646915854007,train
S00208,9,12,2025-10-13,60,17,0.0030153300629459,0.0,0.4483695218998195,train
S00210,9,12,2025-10-13,51,18,0.002545831520555,0.0,0.4080147560268203,train
S00211,17,15,2025-10-26,26,16,0.0034247011491967,0.0024002356770644,0.4807219140779789,train
S00214,3,16,2025-10-04,54,27,0.0019219239237138,0.0,0.3502672958109408,train
S00216,3,14,2025-10-04,39,30,0.0017230681751387,0.0,0.3384526544815761,train
S00217,3,22,2025-10-04,35,18,0.0019871940724204,0.0,0.365803632185854,train
S00218,5,22,2025-10-07,56,15,0.003170596535262,0.0,0.4755407809022996,train
S00220,5,10,2025-10-07,33,26,0.0034454038477909,0.0048111362800333,0.55277215816857,train
S00221,7,23,2025-10-10,50,17,0.0033723136065952,0.0024405814181889,0.4587088170992821,train
S00223,5,4,2025-10-07,32,29,0.0029033251944215,0.0,0.4666312521342573,train
S00226,5,4,2025-10-07,37,16,0.0033164090365677,0.0,0.4820495733223247,train
S00227,10,6,2025-10-15,47,25,0.0014234399853093,0.0,0.2637325731730249,train
S00229,4,10,2025-10-05,41,20,0.0020351663090908,0.0,0.3742168723181906,train
S00233,12,23,2025-10-18,16,18,0.0016061742347959,0.0,0.2877666441776957,train
S00237,12,19,2025-10-18,38,25,0.0022177227487643,0.0,0.3728409220737904,train
S00238,17,25,2025-10-26,37,23,0.0011545247441997,0.0,0.3274418503942407,train
S00245,10,7,2025-10-15,47,29,0.0015781423038966,0.0,0.3929194039451824,train
S00247,9,22,2025-10-13,40,17,0.0022471213260071,0.0,0.4199984635040789,train
S00248,10,2,2025-10-15,61,20,0.0027428675365587,0.0048394556829523,0.4090016473834481,train
S00249,10,2,2025-10-15,17,26,0.0023281523965407,0.0072902762090563,0.422477716983454,train
S00252,2,16,2025-10-02,16,19,0.0031729579257216,0.0,0.4429491088119803,train
S00253,9,14,2025-10-13,19,17,0.0026073823896399,0.0,0.4437837693199363,train
S00257,20,14,2025-10-31,46,22,0.0011646548343274,0.0122792453576052,0.263455441301882,train
S00258,23,7,2025-11-05,29,26,0.0031377505086677,0.004889013491513,0.4450592124051335,train
S00259,23,6,2025-11-05,51,28,0.0021795408336026,0.0,0.373427350702631,train
S00260,23,7,2025-11-05,18,22,0.0035807285453509,0.0,0.4539488549956994,train
S00261,23,6,2025-11-05,22,20,0.0021082039093929,0.0,0.3320423918803936,train
S00262,23,7,2025-11-05,37,31,0.0018951639688794,0.0,0.3128328970538281,train
S00264,23,6,2025-11-05,30,20,0.0024108400913512,0.0,0.4022669607473894,train
S00265,23,5,2025-11-05,40,28,0.0023837204583317,0.0021986286219862,0.3857856206630732,train
S00267,23,3,2025-11-05,51,13,0.0026327224992023,0.0022214176846302,0.4314110793913994,train
S00268,23,7,2025-11-05,32,31,0.0023541895143855,0.0,0.4383103722825427,train
S00269,23,7,2025-11-05,34,16,0.0028578535843531,0.0,0.4376008694537289,train
S00270,23,7,2025-11-05,23,24,0.0027086927886109,0.0021931566452205,0.4602995563449822,train
S00271,23,1,2025-11-05,58,22,0.0032626397081621,0.0,0.3828211828734597,train
S00273,23,5,2025-11-05,27,13,0.0019008165527761,0.0023947190902958,0.2901519199456089,train
S00275,23,1,2025-11-05,37,16,0.0015716202885429,0.0,0.3660698705499134,train
S00277,4,10,2025-10-05,28,21,0.0037547774300677,0.0,0.5362727730735859,train
S00278,4,10,2025-10-05,58,21,0.003510216819072,0.0024270303793883,0.4482500626797081,train
S00283,13,21,2025-10-20,38,24,0.0022708752962517,0.0,0.3463654117933241,train
S00284,13,15,2025-10-20,62,18,0.0014553359255452,0.0,0.390276454513327,train
S00289,24,4,2025-11-06,30,31,0.002111511633018,0.0,0.3926419384802342,train
S00290,24,12,2025-11-06,31,31,0.0021543471222167,0.0024540301396377,0.4615114611290549,train
S00294,14,13,2025-10-21,46,19,0.0028707965895222,0.0,0.4235442555324911,train
S00296,13,10,2025-10-20,16,24,0.0023692068641033,0.0,0.4723522160961179,train
S00297,25,4,2025-11-08,14,24,0.0024116250197097,0.0048750582407611,0.471554680664178,train
