ufs_serial,run_id,wafer_no,date,die_x,die_y,pred,health,clf_proba,split,position
S00051,12,21,2025-10-18,22,29,0.0024974610284775,0.0023918839575332,0.3398394708213716,train,1
S00052,12,20,2025-10-18,50,12,0.0015385884286579,0.0,0.3680105381172223,train,1
S00056,12,18,2025-10-18,45,11,0.002128625144912,0.0024112401634015,0.4108590001780659,train,1
S00058,12,18,2025-10-18,16,26,0.00332930179888,0.0,0.4753370758905649,train,1
S00233,12,23,2025-10-18,16,18,0.0018212673550324,0.0,0.2877666441776957,train,1
S00237,12,19,2025-10-18,38,25,0.0027449692281595,0.0,0.3728409220737904,train,1
S00519,12,10,2025-10-18,14,24,0.0034101670106907,0.0,0.4390756361233752,train,1
S00520,12,10,2025-10-18,58,16,0.0028712726051849,0.0,0.3911307332141538,train,1
S00522,12,14,2025-10-18,47,26,0.0030283267638305,0.0,0.3651830428409024,train,1
S00523,12,10,2025-10-18,22,23,0.0033858310172261,0.0,0.4226385943780039,train,1
S00524,12,10,2025-10-18,60,20,0.0023881145739271,0.0073659093266936,0.3616930127250284,train,1
S00525,12,10,2025-10-18,37,30,0.0030301830637688,0.0022026334100044,0.4129018757324003,train,1
S00778,12,23,2025-10-18,53,23,0.0015741555796005,0.0,0.3476858345553941,train,1
S00888,12,20,2025-10-18,17,27,0.0026703308784905,0.0,0.4060416500321679,train,1
S01169,12,21,2025-10-18,33,22,0.0026648876624452,0.0,0.3384829713578204,train,1
S01178,12,24,2025-10-18,53,25,0.002323910996138,0.0,0.3007773673575867,train,1
S01179,12,25,2025-10-18,62,23,0.0030497786999449,0.0,0.4354369424065453,train,1
S01180,12,19,2025-10-18,14,20,0.0018157938481525,0.0,0.2974405942600513,train,1
S01183,12,23,2025-10-18,31,26,0.0014907482192559,0.0,0.3334837904072198,train,1
S01424,12,25,2025-10-18,25,25,0.0031196190628799,0.0014620270107283,0.3927873308477869,train,1
S01428,12,22,2025-10-18,62,22,0.0022253821170341,0.001488509723233,0.3948199577871559,train,1
S01429,12,21,2025-10-18,49,23,0.0026348850737959,0.0,0.3357516316971496,train,1
S01437,12,25,2025-10-18,57,26,0.0029535725978374,0.0,0.4203944955346445,train,1
S01438,12,18,2025-10-18,24,25,0.0032590189250522,0.0014523373279915,0.4637161783133729,train,1
S01439,12,19,2025-10-18,35,23,0.0020652509529515,0.0014258991484771,0.3478307019468947,train,1
S01488,12,22,2025-10-18,42,31,0.0021343808982266,0.0014427752376805,0.3397627469944771,train,1
S01493,12,25,2025-10-18,16,17,0.0028654620081479,0.0101555886388183,0.3821647986103795,train,1
S01495,12,22,2025-10-18,29,12,0.0018127983794812,0.0059190448543313,0.3390729157651699,train,1
S01497,12,21,2025-10-18,54,30,0.002590886379146,0.0059359053599314,0.3677175196278783,train,1
S01953,12,23,2025-10-18,28,23,0.0016336065791546,0.0,0.3828756184530848,train,1
S01969,12,22,2025-10-18,58,28,0.0027259973710788,0.0,0.3647605823354443,train,1
S02008,12,12,2025-10-18,40,29,0.003445899718505,0.0,0.4591302456222119,train,1
S02009,12,14,2025-10-18,38,29,0.0027272653873664,0.0097859688502963,0.3841379397319513,train,1
S02243,12,24,2025-10-18,16,18,0.0026258542857446,0.0,0.3896277872372695,train,1
S02252,12,22,2025-10-18,42,24,0.0021326695864708,0.0,0.3442060586619471,train,1
S02278,12,14,2025-10-18,34,17,0.003102769719922,0.0,0.415807089965656,train,1
S02417,12,21,2025-10-18,15,21,0.0021077720169906,0.0,0.3743299161546229,train,1
S02418,12,22,2025-10-18,33,18,0.0018851988216646,0.0,0.3819156538677257,train,1
S02426,12,21,2025-10-18,58,23,0.002971256629393,0.0,0.4195569216179017,train,1
S02427,12,23,2025-10-18,22,26,0.0019724046926329,0.0,0.3062201138635823,train,1
S02523,12,20,2025-10-18,37,11,0.0025636621930811,0.0,0.3284318742139163,train,1
S02548,12,17,2025-10-18,24,15,0.0025971776116966,0.0,0.3874568976786763,train,1
S02554,12,18,2025-10-18,20,27,0.0030374131454043,0.0,0.4399485835889455,train,1
S02622,12,10,2025-10-18,54,19,0.0031757291923032,0.0,0.4490287024309558,train,1
S02624,12,12,2025-10-18,32,25,0.0035997854774215,0.0,0.5025446151581723,train,1
S02663,12,12,2025-10-18,40,27,0.0033049901440319,0.0,0.5147634737576082,train,1
S02664,12,14,2025-10-18,40,27,0.0029582362908972,0.0,0.4347466512790155,train,1
S02665,12,10,2025-10-18,46,26,0.0033799084845181,0.0,0.4272704066066595,train,1
S02667,12,14,2025-10-18,51,13,0.002209283758139,0.0,0.3735935019916088,train,1
S02669,12,17,2025-10-18,22,22,0.002745707887322,0.0,0.4463913987883232,train,1
S02854,12,24,2025-10-18,46,23,0.0023738506415022,0.0,0.3486565909600436,train,1
S02855,12,20,2025-10-18,60,23,0.0029226832150698,0.0,0.3951063277779128,train,1
S02857,12,19,2025-10-18,41,15,0.0021131652002287,0.0,0.2653178126911363,train,1
S02858,12,18,2025-10-18,44,19,0.0030181654872678,0.0,0.4383371760889901,train,1
S03345,12,22,2025-10-18,17,17,0.002725915743429,0.0,0.354632584886539,train,1
