ufs_serial,run_id,wafer_no,date,die_x,die_y,health,split,position,pred
S03487,207,1,2026-05-28,18,16,0.0,val,1,0.0028915456764865
S06121,207,1,2026-05-28,63,25,0.0202231716669014,val,1,0.0029330754247599
S10118,207,1,2026-05-28,41,12,0.0039826590058577,val,1,0.0028747638141894
S10327,207,1,2026-05-28,59,28,0.0,val,1,0.0012587518111282
S10888,207,1,2026-05-28,25,20,0.0235098029394905,val,1,0.0027991235112707
S13837,207,1,2026-05-28,27,18,0.0092942712131922,val,1,0.0028200897097835
S16587,207,1,2026-05-28,37,19,0.0,val,1,0.0027931960167521
S16590,207,1,2026-05-28,60,21,0.0,val,1,0.002870585114938
S18413,207,1,2026-05-28,19,18,0.0059695397328721,val,1,0.0028880485834127
S19467,207,1,2026-05-28,26,22,0.0029406369999585,val,1,0.002788394954779
S20661,207,1,2026-05-28,33,22,0.0062367453475385,val,1,0.0028681954302886
S22190,207,1,2026-05-28,19,23,0.0,val,1,0.0028688645870791
S26577,207,1,2026-05-28,36,23,0.0,val,1,0.0027474452570502
S26914,207,1,2026-05-28,44,23,0.0062246068603433,val,1,0.0027277017018957
S36484,207,1,2026-05-28,53,16,0.0,val,1,0.0028107690103719
S37801,207,1,2026-05-28,31,31,0.0,val,1,0.0012120719473894
S41343,207,1,2026-05-28,51,18,0.0026902237161895,val,1,0.002814403056724
S42608,207,1,2026-05-28,42,31,0.0,val,1,0.0028515960378345
S42612,207,1,2026-05-28,51,15,0.0,val,1,0.0028004578750097
S43732,207,1,2026-05-28,62,20,0.0107249703283014,val,1,0.0029443931099702
S03487,207,1,2026-05-28,18,17,0.0,val,2,0.0029046403925311
S06121,207,1,2026-05-28,61,26,0.0202231716669014,val,2,0.0028989525442771
S10118,207,1,2026-05-28,40,12,0.0039826590058577,val,2,0.0029687071443227
S10327,207,1,2026-05-28,49,31,0.0,val,2,0.0012037113994567
S10888,207,1,2026-05-28,23,20,0.0235098029394905,val,2,0.0028218884284862
S13837,207,1,2026-05-28,25,18,0.0092942712131922,val,2,0.0028431548474818
S16587,207,1,2026-05-28,39,19,0.0,val,2,0.0028103391750117
S16590,207,1,2026-05-28,62,21,0.0,val,2,0.0029230558719149
S18413,207,1,2026-05-28,17,18,0.0059695397328721,val,2,0.0029001824323042
S19467,207,1,2026-05-28,24,22,0.0029406369999585,val,2,0.0028691329112986
S20661,207,1,2026-05-28,31,22,0.0062367453475385,val,2,0.0028278983294446
S22190,207,1,2026-05-28,21,23,0.0,val,2,0.0028283911400418
S26577,207,1,2026-05-28,38,23,0.0,val,2,0.0027463051360214
S26914,207,1,2026-05-28,46,23,0.0062246068603433,val,2,0.0029312704826801
S36484,207,1,2026-05-28,51,16,0.0,val,2,0.0027119960021339
S37801,207,1,2026-05-28,35,32,0.0,val,2,0.0011930082529886
S41343,207,1,2026-05-28,49,18,0.0026902237161895,val,2,0.0028139878163748
S42608,207,1,2026-05-28,44,31,0.0,val,2,0.002756507097162
S42612,207,1,2026-05-28,53,15,0.0,val,2,0.0028318811548355
S43732,207,1,2026-05-28,60,20,0.0107249703283014,val,2,0.0028425358870299
S03487,207,1,2026-05-28,22,16,0.0,val,3,0.0028817632185292
S06121,207,1,2026-05-28,58,25,0.0202231716669014,val,3,0.0028264785385627
S10118,207,1,2026-05-28,43,12,0.0039826590058577,val,3,0.0029194143220359
S10327,207,1,2026-05-28,63,17,0.0,val,3,0.0013226743347441
S10888,207,1,2026-05-28,29,20,0.0235098029394905,val,3,0.0028520258487484
S13837,207,1,2026-05-28,31,18,0.0092942712131922,val,3,0.0028320894984818
S16587,207,1,2026-05-28,33,19,0.0,val,3,0.0028430687136035
S16590,207,1,2026-05-28,56,21,0.0,val,3,0.0028492341019383
S18413,207,1,2026-05-28,23,18,0.0059695397328721,val,3,0.0028424884548013
S19467,207,1,2026-05-28,30,22,0.0029406369999585,val,3,0.0028643094204483
S20661,207,1,2026-05-28,37,22,0.0062367453475385,val,3,0.0028690182223358
S22190,207,1,2026-05-28,15,23,0.0,val,3,0.0028565725014145
S26577,207,1,2026-05-28,31,23,0.0,val,3,0.0028238443118166
S26914,207,1,2026-05-28,40,23,0.0062246068603433,val,3,0.0029103678832874
S36484,207,1,2026-05-28,57,16,0.0,val,3,0.0028834976732319
S37801,207,1,2026-05-28,25,30,0.0,val,3,0.0012261332126466
S41343,207,1,2026-05-28,56,18,0.0026902237161895,val,3,0.002797490005988
S42608,207,1,2026-05-28,38,31,0.0,val,3,0.0028062321875439
S42612,207,1,2026-05-28,47,15,0.0,val,3,0.0027138693330373
S43732,207,1,2026-05-28,59,19,0.0107249703283014,val,3,0.0029491643600684
S03487,207,1,2026-05-28,20,16,0.0,val,4,0.0028845709835419
S06121,207,1,2026-05-28,60,25,0.0202231716669014,val,4,0.0029071883137573
S10118,207,1,2026-05-28,42,12,0.0039826590058577,val,4,0.0029399462365163
S10327,207,1,2026-05-28,63,26,0.0,val,4,0.0011759766522185
S10888,207,1,2026-05-28,27,20,0.0235098029394905,val,4,0.0027874934714767
S13837,207,1,2026-05-28,29,18,0.0092942712131922,val,4,0.0027363271877135
S16587,207,1,2026-05-28,35,19,0.0,val,4,0.002856210862722
S16590,207,1,2026-05-28,58,21,0.0,val,4,0.0029436918455723
S18413,207,1,2026-05-28,21,18,0.0059695397328721,val,4,0.0028773932583563
S19467,207,1,2026-05-28,28,22,0.0029406369999585,val,4,0.0028298470053851
S20661,207,1,2026-05-28,35,22,0.0062367453475385,val,4,0.0027796738335459
S22190,207,1,2026-05-28,17,23,0.0,val,4,0.0028582896818689
