lot,pattern,n_dies,n_wafers,risk_ratio,avg_pred,max_pred
1,edge,925,21,0.10378378378378378,0.0011267471894272807,0.0038768462094362
10,random,929,22,0.2378902045209903,0.0030488980226746616,0.003598891231058
101,normal,672,25,0.0,0.002527725805455673,0.0032344705846541
102,random,623,25,0.17335473515248795,0.0028357223442551085,0.0035527778229866
103,normal,483,25,0.020703933747412008,0.0019206929698360946,0.0033267516793112
104,random,648,25,0.2762345679012346,0.0023456337911126595,0.0035557282018455
105,normal,626,25,0.025559105431309903,0.0023059031657016358,0.0033690711377526
106,random,612,25,0.23366013071895425,0.0023600060857175585,0.0035557282018455
107,random,726,25,0.6928374655647382,0.003218182319413121,0.0035584973896475
108,random,669,25,0.5037369207772795,0.002912792617639324,0.0035844442300654
109,random,710,25,0.9014084507042254,0.0034198565565689864,0.0036224796044883
11,random,773,18,0.1448900388098318,0.0022639385421262944,0.0035665854050623
110,random,637,25,0.5054945054945055,0.0029372733311368443,0.0035844442300654
111,normal,673,25,0.0237741456166419,0.00230951136937433,0.0033690711377526
112,random,768,25,0.7096354166666666,0.0032633111688796664,0.0035973477546017
113,random,703,25,0.701280227596017,0.003236811508662281,0.0035584973896475
114,random,546,25,0.7747252747252747,0.003292270902077448,0.0035836419397241
115,random,662,25,0.6691842900302115,0.0032155555912428612,0.0035584973896475
116,random,479,25,0.12317327766179541,0.0025400231552463663,0.00352516612943
117,normal,705,25,0.0,0.0022785919224606083,0.0032382465737784
118,random,710,25,0.6690140845070423,0.0032027486546161877,0.0035584973896475
119,random,602,25,0.7342192691029901,0.0032714601267996744,0.0035836419397241
12,random,875,12,0.31885714285714284,0.0030590054964301084,0.0036585373879374
120,random,619,25,0.0840064620355412,0.0028576035417422116,0.003334846164242
121,random,314,25,0.05732484076433121,0.0019955535523738972,0.0034049376695933
122,random,675,25,0.42962962962962964,0.003000110580201396,0.0035663533161269
123,random,673,25,0.9138187221396731,0.003424223279586863,0.0036162915162231
124,normal,549,25,0.0018214936247723133,0.002638959455502671,0.0032716979088436
125,random,620,25,0.6693548387096774,0.0032370731946006776,0.0036110895633632
126,random,708,25,0.4364406779661017,0.0027344901211732472,0.0035844442300654
127,random,610,25,0.6655737704918033,0.0032406867533495793,0.0036110895633632
128,random,703,25,0.6728307254623044,0.0032481241323305977,0.0035414497404049
129,random,745,25,0.425503355704698,0.002727772791049449,0.0035844442300654
13,random,896,13,0.7209821428571429,0.0032717278960786764,0.0036874886014758
130,random,657,25,0.2983257229832572,0.002478579219698806,0.0035557282018455
131,random,716,25,0.9539106145251397,0.003476007714012527,0.0036576012544723
132,random,614,25,0.2915309446254072,0.002404284572005163,0.0035557282018455
133,random,582,25,0.32989690721649484,0.0029137460462738962,0.0034495676070827
134,random,227,25,0.09691629955947137,0.0028847719358431863,0.0033334562183332
