run_id,wafer_no,total_dies,risk_dies,avg_ppm
1,1,240,0,393.4
1,2,272,0,337.1
1,4,244,0,280.1
1,5,248,0,279.2
1,6,276,0,303.0
1,7,220,0,499.3
1,8,272,0,373.0
1,10,252,0,276.4
1,11,204,0,258.6
1,12,228,0,831.0
1,13,244,0,799.3
1,14,204,0,171.7
1,16,248,0,273.1
1,17,300,0,857.9
1,18,244,0,490.1
1,19,236,0,280.5
1,20,196,0,744.9
1,22,252,0,374.6
1,23,256,0,298.3
1,24,248,0,455.7
1,25,252,0,480.0
2,1,264,4,2897.2
2,2,296,0,2675.7
2,3,260,0,2775.6
2,4,240,0,2693.9
2,5,212,12,3039.0
2,7,268,0,2008.3
2,8,196,0,2615.3
2,9,244,0,2145.3
2,10,252,0,2170.3
2,11,292,0,2194.0
2,13,236,0,2481.4
2,14,280,0,2614.1
2,15,244,0,2705.9
2,16,236,0,2264.6
2,17,264,0,2819.3
2,19,244,0,1871.4
2,20,196,0,2536.4
2,21,248,0,1791.4
2,22,252,0,2774.4
2,23,272,0,2595.1
3,2,240,0,2674.0
3,3,200,0,1944.8
3,4,220,0,2525.4
3,6,236,0,2138.0
3,8,236,0,2274.0
3,9,312,0,2139.4
3,10,268,0,2637.8
3,11,232,0,2551.5
3,12,244,0,2512.2
3,14,192,0,2484.2
3,15,208,0,2344.7
3,16,172,0,2260.0
3,17,184,0,2326.5
3,18,188,0,2861.3
3,20,300,0,2553.1
3,21,320,0,2404.5
3,22,232,0,2042.3
3,23,216,0,2250.3
3,24,256,0,2615.9
4,5,260,0,2611.6
4,10,232,104,3336.4
4,12,252,76,3091.8
4,13,280,0,3020.4
4,14,340,236,3448.2
4,15,268,72,3190.9
4,16,228,0,3051.4
4,17,264,52,3037.3
4,18,280,116,3271.1
4,19,288,0,2787.1
4,20,264,52,3067.7
4,21,276,56,3072.6
4,22,224,4,2954.6
4,23,228,48,3144.9
4,25,236,28,2982.0
5,2,256,48,3144.9
5,3,304,28,3188.0
5,4,272,136,3256.3
5,5,280,176,3371.4
5,7,248,36,3061.9
5,8,256,44,3079.0
5,9,288,76,3252.6
5,10,284,144,3308.9
5,11,260,16,3087.3
5,14,280,24,3149.5
5,15,228,112,3330.0
5,16,260,0,2997.5
5,19,260,32,3138.8
5,20,320,0,2901.2
5,21,268,32,3102.0
5,22,228,0,2904.0
5,23,208,0,2916.0
5,25,268,40,3196.1
6,6,272,36,3028.3
6,7,236,88,3248.3
6,10,284,160,3344.4
6,11,268,196,3449.4
6,12,320,0,2902.5
