die_x,die_y,pred_a,pred_b,delta,n_a,n_b
12,21,0.00238553,0.00350877,0.00112324,4,1
13,19,0.00259467,0.00224451,-0.00035017,55,16
13,20,0.00262945,0.00182928,-0.00080016,111,42
13,21,0.00268996,0.00216157,-0.00052838,149,47
13,22,0.00271107,0.00185629,-0.00085479,103,38
13,23,0.00259257,0.00216726,-0.00042531,115,25
13,24,0.00270427,0.0021596,-0.00054467,35,17
14,18,0.002541,0.00233224,-0.00020876,114,32
14,19,0.00256338,0.00208921,-0.00047417,150,37
14,20,0.00267333,0.00219359,-0.00047974,151,48
14,21,0.00263084,0.00197413,-0.0006567,135,46
14,22,0.00256312,0.00203309,-0.00053003,144,36
14,23,0.00269182,0.00207243,-0.00061939,137,42
14,24,0.00265575,0.00195581,-0.00069994,126,47
14,25,0.00250105,0.00280271,0.00030165,87,22
15,17,0.0024352,0.00259366,0.00015846,93,27
15,18,0.00259227,0.00190028,-0.00069198,159,41
15,19,0.00258267,0.00201763,-0.00056504,152,43
15,20,0.00266704,0.0018341,-0.00083294,146,41
15,21,0.00257817,0.00215471,-0.00042346,155,44
15,22,0.00275782,0.00207998,-0.00067784,144,39
15,23,0.00253581,0.00193001,-0.0006058,160,40
15,24,0.0027098,0.00210217,-0.00060763,146,41
15,25,0.002738,0.00225378,-0.00048422,151,44
15,26,0.00242939,0.00242995,5.6e-07,84,24
16,16,0.00232522,0.00274175,0.00041653,20,3
16,17,0.00257595,0.00247617,-9.977e-05,149,39
16,18,0.00256436,0.00185577,-0.00070859,171,44
16,19,0.00263619,0.00222268,-0.0004135,141,41
16,20,0.00257988,0.00208524,-0.00049464,167,43
16,21,0.00262667,0.00200971,-0.00061696,134,42
16,22,0.0025583,0.00229587,-0.00026243,156,40
16,23,0.0026686,0.00203238,-0.00063622,146,53
16,24,0.00254494,0.00193109,-0.00061384,135,44
16,25,0.00254084,0.00211751,-0.00042333,138,48
16,26,0.00248916,0.00266379,0.00017463,157,46
17,16,0.00248218,0.00236909,-0.0001131,145,40
17,17,0.00255731,0.00208303,-0.00047427,154,47
17,18,0.0026033,0.00204611,-0.00055719,177,47
17,19,0.00260318,0.0023305,-0.00027268,161,44
17,20,0.00268606,0.00199653,-0.00068953,158,43
