feature,group,mean,std,q10,q25,median,q75,q90,count
X1064,HIGH,10.725062,2.648349,8.060282,9.196796,10.554796,11.559706,13.74699,903
X1064,MED,11.664662,3.43509,8.445862,9.380256,10.840894,13.0037,15.609378,7826
X592,HIGH,0.297134,1.051219,-1.144553,-0.102386,0.337348,1.102487,1.412879,903
X592,MED,0.10631,1.341687,-1.33862,-0.471467,0.157629,0.712722,1.440617,7826
X1066,HIGH,4.120806,2.57366,1.986533,2.31217,3.30762,5.350922,7.284017,903
X1066,MED,4.116913,2.705174,1.76488,2.426705,3.347266,4.938234,7.595878,7826
X1071,HIGH,7.880472,3.532244,3.754132,5.411659,7.137151,9.535838,12.562496,903
X1071,MED,8.437997,3.90191,3.885718,5.411659,7.714278,10.894548,14.003391,7826
X1068,HIGH,3.143576,0.821068,2.049284,2.544162,3.155323,3.616638,4.148626,903
X1068,MED,3.193907,0.821189,2.206153,2.611567,3.119754,3.665719,4.18142,7826
X727,HIGH,30.008946,4.195368,24.5775,26.19375,30.07125,33.106875,35.1975,880
X727,MED,30.889709,3.868996,26.316,28.125,30.5675,33.1825,36.08,5645
X1063,HIGH,24.324352,4.635359,18.330115,21.319713,24.496398,27.280141,30.64074,903
X1063,MED,24.495385,4.092457,19.543848,21.670319,24.249234,26.936907,30.141154,7826
X1060,HIGH,17.586954,2.895292,14.097432,15.416594,17.577898,19.260892,21.072298,903
X1060,MED,18.765266,3.71415,14.276475,16.0399,18.353788,21.366964,24.393927,7826
X1003,HIGH,286.172184,5.901858,283.2,284.525,286.2,287.65,289.0,903
X1003,MED,286.539874,5.874794,283.02375,284.85,286.85,288.839375,290.7,7826
X995,HIGH,1766.926357,19.929636,1743.25,1762.0,1770.0,1777.75,1785.7,903
X995,MED,1765.496358,29.644087,1732.5,1758.5,1770.75,1781.9375,1791.5,7826
X1070,HIGH,83.481618,5.138661,77.582831,80.784729,85.321406,86.812004,88.632815,903
X1070,MED,82.647443,5.486566,75.539912,80.784729,83.652367,86.458101,87.961784,7826
X594,HIGH,1432.513068,254.287806,1118.225,1201.375,1401.5,1653.0,1801.825,880
X594,MED,1485.104857,264.96107,1118.6,1258.0,1485.0,1714.75,1852.25,5645
X1002,HIGH,2080.983942,86.376559,1971.8,2023.0,2080.0,2138.625,2192.4,903
X1002,MED,2064.593598,96.451677,1941.25,1995.75,2061.375,2134.25,2190.125,7826
X718,HIGH,1002.123477,43.392928,949.8,975.5,999.5,1031.0,1059.5,903
X718,MED,1017.007603,58.951642,950.0,979.0,1009.0,1052.25,1092.125,7826
X726,HIGH,1021.81866,43.035441,968.8,992.0,1022.75,1051.5,1077.75,903
X726,MED,1020.022138,53.519837,957.625,985.25,1018.75,1052.75,1085.0,7826
X1001,HIGH,2684.241141,64.839396,2600.3,2632.875,2687.5,2729.25,2768.95,903
X1001,MED,2703.043828,81.628234,2602.0,2646.0,2703.5,2755.75,2810.25,7826
X1029,HIGH,0.479002,0.007886,0.47,0.474313,0.4794,0.4848,0.4882,903
X1029,MED,0.476591,0.016115,0.46535,0.4705,0.475938,0.483,0.4902,7826
X1076,HIGH,2.968715,1.249858,1.0,2.0,3.0,4.0,5.0,903
X1076,MED,3.301176,1.451143,1.0,2.0,3.0,4.0,5.0,7826
X999,HIGH,603.257198,84.806279,489.55,546.125,603.0,663.125,711.75,903
X999,MED,638.45023,85.147744,529.625,581.25,641.75,694.75,749.5,7826
X732,HIGH,158.399779,20.356194,140.0,148.5,159.5,171.5,181.0,903
X732,MED,132.16311,40.048646,70.5,85.75,145.5,161.0,174.0,7826
