feature,lgbm_gain,lgbm_rank
X592,739.1791829109192,1
X1066,707.4726356506347,2
X1049,687.393856716156,3
X1064,616.9259700775146,4
X727,605.6809938430786,5
X1060,579.8915866851806,6
X726,537.3579046726227,7
X1003,507.60261883735654,8
X718,500.29160885810853,9
X732,499.3027019023895,10
X1070,491.3565009713173,11
X1063,490.16206724643706,12
die_y,468.4320337295532,13
X1071,464.2836066246033,14
X995,443.6184220790863,15
X768,420.7474555969238,16
X1068,372.8292820453644,17
X831,316.1088460922241,18
X1029,312.3555242538452,19
X1002,258.4706481456757,20
X594,245.96820402145386,21
X589,241.3451124191284,22
X243,230.9270746231079,23
X723,228.8516975402832,24
die_x,218.3625759124756,25
X1014,213.38108196258545,26
X689,205.7239758491516,27
X586,198.49414224624633,28
X854,197.82520518302917,29
X1031,197.51402745246887,30
X1007,194.2920678138733,31
X1032,188.6781231880188,32
X722,188.66482183933257,33
X561,183.4862832069397,34
X1004,181.00353412628175,35
X573,177.43349447250367,36
X893,176.35621433258058,37
X870,172.88892421722412,38
X983,162.51997261047364,39
X731,161.95841636657715,40
X999,157.81782722473145,41
X1001,155.85880374908447,42
X982,154.85751581192017,43
X577,152.76983618736267,44
X719,148.75681419372557,45
X1083,144.6934341430664,46
X1016,142.79836015701295,47
X824,132.93632917404176,48
X590,131.65068674087524,49
X1059,129.61816177368163,50
X1076,124.76621351242065,51
X397,124.29465188980103,52
X998,124.07158432006835,53
X557,121.94255847930908,54
X588,119.99414777755737,55
X828,117.72077736854553,56
X48,114.6073742866516,57
X572,112.7320785522461,58
X1006,112.21738338470459,59
X1073,109.88384008407593,60
X880,109.79759812355042,61
X713,108.12701778411865,62
X843,107.64108591079712,63
X833,106.64298987388611,64
X202,106.35718994140625,65
X578,105.99386005401611,66
X562,105.08555369377136,67
X867,102.22914009094238,68
X1075,102.04199075698853,69
X465,101.53812162876129,70
X1033,100.88666200637817,71
X550,99.60042262077332,72
X835,98.01637029647827,73
X839,97.32324256896973,74
X875,96.82157168388366,75
X314,96.71008195877076,76
X155,96.39181027412414,77
X574,96.12012214660645,78
X860,94.94645528793335,79
X632,93.50931196212768,80
X391,92.2499574661255,81
X773,91.61473388671875,82
X842,90.14231185913086,83
X1000,89.28016052246093,84
X400,88.09053840637208,85
X317,86.91209774017334,86
X660,86.24219799041748,87
X580,85.43214602470398,88
X60,85.30790567398071,89
X1017,84.86700205802917,90
X849,84.18284225463867,91
X1030,83.77759160995484,92
X1018,82.93160977363587,93
X734,81.47359585762024,94
X886,81.20054969787597,95
X34,80.31949610710144,96
X826,78.7848862171173,97
X1058,78.72814626693726,98
X29,77.5181441783905,99
X587,76.86623363494873,100
X483,75.01923503875733,101
X1077,74.67369575500489,102
X389,74.27813169956207,103
X905,73.17742528915406,104
X832,72.9348418712616,105
X997,71.57319378852844,106
X294,71.35782661437989,107
X190,70.79372797012329,108
X1005,70.12205724716186,109
X110,69.99259424209595,110
X271,69.66382627487182,111
X856,68.93694515228272,112
X67,68.57304449081421,113
X649,67.72870960235596,114
X873,67.68814010620117,115
X408,67.6546895980835,116
X396,67.41822814941406,117
X881,67.38179597854614,118
X733,67.1608377456665,119
X838,67.06496725082397,120
X661,66.5554738998413,121
X403,65.5691499710083,122
X485,65.50891561508179,123
X19,64.50263051986694,124
X295,64.1109037399292,125
X874,63.11048822402954,126
X46,62.76059417724609,127
X682,62.520022010803224,128
X57,61.15995006561279,129
X45,60.84474806785583,130
X274,60.67764024734497,131
X64,59.88050575256348,132
X95,59.60247802734375,133
X1044,59.485905933380124,134
X829,59.337535762786864,135
X54,58.18364839553833,136
X466,57.99654016494751,137
X75,57.62424764633179,138
X255,56.73737206459045,139
X415,56.669189643859866,140
X576,56.59607400894165,141
X355,56.171094036102296,142
X818,56.129159927368164,143
X730,56.06076383590698,144
X582,55.43187007904053,145
X892,55.32361211776733,146
X293,55.22530851364136,147
X59,55.163994216918944,148
X85,54.95530986785889,149
X146,54.865269899368286,150
X1085,54.48790445327759,151
X830,53.83148975372315,152
X837,53.7790696144104,153
X802,53.74458637237549,154
X42,53.63839206695557,155
X735,53.598530292510986,156
X486,53.09207448959351,157
X895,52.57511215209961,158
X812,51.64786796569824,159
X817,51.51173963546753,160
X890,51.462199974060056,161
X825,51.38840389251709,162
X305,51.31583185195923,163
X240,50.73313255310059,164
X887,50.65635004043579,165
X399,50.22822980880737,166
X337,49.4556981086731,167
X904,48.977413940429685,168
X834,48.968030023574826,169
X122,48.53444843292236,170
X1015,48.45878210067749,171
X888,48.10200443267822,172
X853,47.95712022781372,173
X738,47.80054988861084,174
X807,47.64138202667236,175
X1013,47.56147155761719,176
X398,47.53489189147949,177
X330,47.10281181335449,178
X973,47.0890396118164,179
X931,47.07700366973877,180
X608,46.34578809738159,181
X69,45.95820641517639,182
X166,45.45288791656494,183
X571,45.24617967605591,184
X898,45.2431622505188,185
X595,45.22760400772095,186
X18,45.046263980865476,187
X79,44.609112894535066,188
X601,44.49020848274231,189
X214,44.3060920715332,190
X264,43.570843887329104,191
X721,43.294415736198424,192
X850,43.131805992126466,193
X563,43.0071982383728,194
X1008,42.442185926437375,195
X857,42.23003993034363,196
X1042,41.75623779296875,197
X55,41.39068965911865,198
X28,41.2009560585022,199
X891,40.82061414718628,200
X292,40.504405879974364,201
X1011,40.12571048736572,202
X813,40.067381858825684,203
X751,39.87656831741333,204
X154,39.74600372314453,205
X390,39.52821388244629,206
X549,39.32418231964111,207
X560,38.92556614875794,208
X894,38.79914779663086,209
X852,38.77119836807251,210
X664,38.52930183410645,211
X690,38.26891031265259,212
X411,38.20440626144409,213
X53,38.126977157592776,214
X581,38.07934398651123,215
X878,38.04392595291138,216
X803,37.85381383895874,217
X868,37.82780408859253,218
X187,37.58348197937012,219
X865,37.57561197280884,220
X269,37.45874996185303,221
X670,37.228774070739746,222
X678,36.88105401992798,223
X56,36.5995397567749,224
X570,36.37188987731933,225
X129,36.08603601455688,226
X189,35.922488117218016,227
X644,35.70579385757446,228
X583,35.66787595748902,229
X78,35.662223434448244,230
X665,35.50587224960327,231
X952,35.474745750427246,232
X855,34.7380576133728,233
X801,34.68534014225006,234
X800,34.639462566375734,235
X80,34.61938953399658,236
X841,34.59702196121216,237
X191,34.541346645355226,238
X903,34.43596816062927,239
X821,34.33912620544434,240
X744,34.32673616409302,241
X782,34.18304595947266,242
X652,34.10259613990784,243
X613,34.07487182617187,244
X810,34.014462280273435,245
X745,33.76504583358765,246
X36,33.71015009880066,247
X667,33.01452379226684,248
X863,32.948618221282956,249
X806,32.71889400482178,250
X160,32.71432280540466,251
X844,32.408245992660525,252
X840,32.25931634902954,253
X177,32.25401573181152,254
X200,32.18365030288696,255
X804,32.16210994720459,256
X113,31.822174263000488,257
X38,31.67839388847351,258
X308,31.600705766677855,259
X1081,31.537528038024902,260
X116,31.469971656799316,261
X77,31.453506183624267,262
X769,31.254357719421385,263
X668,31.044935560226442,264
X340,31.000504112243654,265
X798,30.611649990081787,266
X123,30.446241855621338,267
X847,30.29056396484375,268
X127,30.253618144989012,269
X752,30.13446216583252,270
X27,29.84306592941284,271
X724,29.741139888763428,272
X877,29.62505006790161,273
X851,29.576662063598633,274
X790,29.527897834777832,275
X76,29.173330092430113,276
X979,29.0723858833313,277
X836,28.539315700531006,278
X815,28.48337812423706,279
X63,28.407147789001463,280
X173,28.388695907592773,281
X184,28.326312255859374,282
X210,28.291135787963867,283
X755,28.120929861068724,284
X193,28.111566162109376,285
X766,28.079130363464355,286
X275,28.074019718170167,287
X669,28.058850288391113,288
X267,27.888366079330446,289
X785,27.824609661102294,290
X66,27.526197814941405,291
X628,27.449417972564696,292
X11,27.39324607849121,293
X61,26.972510147094727,294
X606,26.769796085357665,295
X819,26.67826404571533,296
X820,26.625035953521728,297
X885,26.460299682617187,298
X336,26.181598091125487,299
X394,26.17459969520569,300
X83,26.16813383102417,301
X128,25.98927960395813,302
X405,25.92382221221924,303
X266,25.52399628162384,304
X753,25.445555877685546,305
X207,25.102754211425783,306
X145,25.073924255371093,307
X479,25.035827922821046,308
X482,24.93306245803833,309
X409,24.914555931091307,310
X24,24.748871898651124,311
X121,24.55143609046936,312
X1079,24.49117202758789,313
X213,24.46351194381714,314
X195,24.25943603515625,315
X584,24.162075901031493,316
X174,23.728670120239258,317
X754,23.707080364227295,318
X117,23.568712139129637,319
X320,23.55330009460449,320
X165,23.257947826385497,321
X203,23.215162420272826,322
X775,23.15523233413696,323
X484,23.090225982666016,324
X285,22.880420017242432,325
X16,22.833769607543946,326
X47,22.760590076446533,327
X637,22.600352096557618,328
X376,22.597659969329833,329
X71,22.52270612716675,330
X361,22.47787024974823,331
X791,22.465387916564943,332
X739,22.460700035095215,333
X365,22.364317989349367,334
X746,22.300234222412108,335
X958,22.178536033630373,336
X796,22.102399635314942,337
X120,22.043448066711427,338
X762,21.94541988372803,339
X809,21.87251772880554,340
X260,21.59387426376343,341
X395,21.542041969299316,342
X932,21.30248613357544,343
X209,21.287606143951415,344
X911,21.171752452850342,345
X392,21.158904457092284,346
X197,21.14880633354187,347
X74,20.91652421951294,348
X40,20.575984144210814,349
X73,20.445064067840576,350
X342,20.439149951934816,351
X130,20.13837366104126,352
X764,19.83685417175293,353
X788,19.83559408187866,354
X760,19.790247535705568,355
X498,19.593959999084472,356
X793,19.400460052490235,357
X161,19.242830181121825,358
X70,19.197724056243896,359
X799,19.003160190582275,360
X318,18.981246280670167,361
X845,18.920517921447754,362
X910,18.740555858612062,363
X5,18.655924224853514,364
X650,18.126929759979248,365
X763,18.069385957717895,366
X823,18.060731887817383,367
X388,18.013213920593262,368
X497,17.768624019622802,369
X81,17.493554019927977,370
X641,17.413479948043822,371
X41,17.33787202835083,372
X889,17.329210090637208,373
X822,17.16498785018921,374
X62,17.032842063903807,375
X937,16.55878791809082,376
X792,16.54266595840454,377
X816,16.542333984375,378
X761,16.536090087890624,379
X780,16.41000967025757,380
X750,16.30662422180176,381
X22,16.239494037628173,382
X406,16.18061981201172,383
X884,16.163548088073732,384
X1045,16.114001655578612,385
X909,16.03999195098877,386
X882,15.867445802688598,387
X814,15.83176383972168,388
X261,15.598821926116944,389
X58,15.504537963867188,390
X651,15.495436191558838,391
X585,15.310385799407959,392
X929,15.150639724731445,393
X922,14.688305854797363,394
X748,14.489568042755128,395
X940,14.482670211791993,396
X986,14.476959896087646,397
X984,14.47120771408081,398
X82,14.307284069061279,399
X7,14.25116786956787,400
X974,14.158609867095947,401
X433,14.032448005676269,402
X779,13.87126603126526,403
X784,13.845891761779786,404
X646,13.838999938964843,405
X928,13.555368041992187,406
X994,13.481850051879883,407
X180,13.46501808166504,408
X808,13.339910221099853,409
X1012,13.28162202835083,410
X765,13.160801982879638,411
X901,13.134058094024658,412
X65,12.97347583770752,413
X111,12.639464187622071,414
X35,12.521521806716919,415
X319,12.432247972488403,416
X126,12.422343826293945,417
X104,12.381987953186036,418
X1080,12.282848024368286,419
X431,12.106485748291016,420
X418,11.939877796173096,421
X481,11.806290102005004,422
X348,11.728026103973388,423
X495,11.18667984008789,424
X749,11.167234134674072,425
X794,11.157697868347167,426
X720,11.12756805419922,427
X805,11.025833797454833,428
X767,10.921261882781982,429
X758,10.906859970092773,430
X643,10.823094081878661,431
X14,10.768139839172363,432
X380,10.528466129302979,433
X150,10.358219957351684,434
X797,10.318551921844483,435
X379,10.211440086364746,436
X935,10.167609786987304,437
X923,10.125324058532716,438
X642,10.042164134979249,439
X434,9.743997955322266,440
X21,9.479260063171386,441
X480,9.160937976837157,442
X978,8.990144348144531,443
X6,8.955273866653442,444
X344,8.81473388671875,445
X20,8.776795911788941,446
X795,8.583319902420044,447
X783,8.319422054290772,448
X737,8.289653968811034,449
X112,8.274465942382813,450
X938,8.265006017684936,451
X925,8.208879852294922,452
X429,8.154140090942382,453
X811,8.089134073257446,454
X589_missing,8.0156400680542,455
X939,7.762820053100586,456
X387,7.52168607711792,457
X428,7.281037998199463,458
X942,7.2517999649047855,459
X335,7.176713943481445,460
X759,7.061335945129395,461
X586_missing,7.041620254516602,462
X944,6.986520004272461,463
X747,6.744446182250977,464
X987,6.739080238342285,465
X516,6.585235977172852,466
X425,6.550214004516602,467
X980,6.532219886779785,468
X639,6.293420028686524,469
X963,6.282700157165527,470
X727_missing,5.907219886779785,471
X393,5.83356990814209,472
X883,5.795015907287597,473
X579,5.708158111572265,474
X993,5.649930095672607,475
X587_missing,5.568659973144531,476
X996,5.39576997756958,477
X926,5.366413879394531,478
X977,5.180879974365235,479
X12,5.108411979675293,480
X961,5.058699989318848,481
X967,4.938938045501709,482
X991,4.892971992492676,483
X970,4.873920059204101,484
X990,4.784626007080078,485
X473,4.722599983215332,486
X472,4.715639877319336,487
X957,4.621984004974365,488
X917,4.4290618896484375,489
X385,4.406060028076172,490
X302,4.352226066589355,491
X594_missing,4.130120086669922,492
X848,4.102663993835449,493
X647,4.050543975830078,494
X918,4.0421600341796875,495
X948,4.040240097045898,496
X580_missing,3.9856800079345702,497
X105,3.9799299240112305,498
X950,3.8088918685913087,499
X912,3.695602035522461,500
X951,3.6748719215393066,501
X976,3.6568199157714845,502
X985,3.635377883911133,503
X913,3.5672040939331056,504
X949,3.539169931411743,505
X936,3.4479141235351562,506
X969,3.249760055541992,507
X915,3.2189760208129883,508
X916,3.2020560264587403,509
X943,3.1655839920043944,510
X548,3.1073458671569822,511
X386,2.948600006103516,512
X962,2.902434062957764,513
X588_missing,2.874139976501465,514
X919,2.7497400283813476,515
X988,2.6219999313354494,516
X971,2.610020065307617,517
X332,2.5359779357910157,518
X956,2.5110200881958007,519
X846,2.493939971923828,520
X924,2.412080001831055,521
X640,2.3718779563903807,522
X914,2.319960021972656,523
X965,2.261199951171875,524
X346,2.1185800552368166,525
X364,1.9405939102172851,526
X430,1.9083759307861328,527
X474,1.8925920486450196,528
X636,1.7553520202636719,529
X941,1.7035879135131835,530
X645,1.5866439819335938,531
X471,1.580430030822754,532
X432,1.5152640342712402,533
X992,1.3189900398254395,534
position,1.2910400390625,535
X975,1.1263580322265625,536
X469,0.0,537
X470,0.0,538
X578_missing,0.0,539
X590_missing,0.0,540
X1082,0.0,541
X374,0.0,542
X373,0.0,543
X384,0.0,544
X946,0.0,545
X945,0.0,546
X947,0.0,547
X933,0.0,548
X920,0.0,549
X921,0.0,550
X927,0.0,551
X930,0.0,552
X366,0.0,553
X477,0.0,554
X476,0.0,555
X375,0.0,556
X367,0.0,557
X368,0.0,558
X369,0.0,559
X372,0.0,560
X514,0.0,561
X512,0.0,562
X496,0.0,563
X468,0.0,564
X467,0.0,565
X435,0.0,566
X966,0.0,567
X968,0.0,568
X960,0.0,569
X964,0.0,570
X954,0.0,571
X959,0.0,572
X981,0.0,573
X972,0.0,574
X611,0.0,575
X989,0.0,576
