die_x,die_y,count,pred_mean,pred_max,pred_std,risk_count,risk_rate,ppm_mean,ppm_max,radial_dist
12,21,5,0.00261018,0.00350877,0.0007891,2,40.0,2610.2,3508.8,27.005
12,22,2,0.00219515,0.0025054,0.00043876,0,0.0,2195.2,2505.4,27.005
13,19,234,0.0025206,0.00349129,0.00067134,27,11.54,2520.6,3491.3,26.12
13,20,454,0.00252826,0.00360869,0.00079461,61,13.44,2528.3,3608.7,26.043
13,21,574,0.00258333,0.00370199,0.00076446,63,10.98,2583.3,3702.0,26.005
13,22,386,0.00244722,0.00364677,0.00084807,24,6.22,2447.2,3646.8,26.005
13,23,451,0.00267107,0.00357538,0.00064701,74,16.41,2671.1,3575.4,26.043
13,24,145,0.00228378,0.00359744,0.00075956,25,17.24,2283.8,3597.4,26.12
14,18,533,0.00235084,0.00374113,0.0007457,80,15.01,2350.8,3741.1,25.244
14,19,611,0.00262075,0.00373664,0.00070908,104,17.02,2620.8,3736.6,25.125
14,20,549,0.00250379,0.00365696,0.00082488,74,13.48,2503.8,3657.0,25.045
14,21,599,0.00240166,0.0036204,0.00095657,85,14.19,2401.7,3620.4,25.005
14,22,560,0.00259355,0.00355292,0.00084579,70,12.5,2593.6,3552.9,25.005
14,23,469,0.0026643,0.00368005,0.0008131,53,11.3,2664.3,3680.0,25.045
14,24,490,0.00246258,0.0035875,0.00090784,76,15.51,2462.6,3587.5,25.125
14,25,290,0.00259642,0.00355275,0.00064342,21,7.24,2596.4,3552.8,25.244
15,17,403,0.00229583,0.00369028,0.00085131,53,13.15,2295.8,3690.3,24.418
15,18,509,0.0024649,0.0037195,0.0008735,66,12.97,2464.9,3719.5,24.254
15,19,501,0.00248678,0.00360597,0.00093129,81,16.17,2486.8,3606.0,24.13
15,20,528,0.0025467,0.00363035,0.00088624,74,14.02,2546.7,3630.4,24.047
15,21,637,0.00251299,0.00375219,0.00093953,122,19.15,2513.0,3752.2,24.005
15,22,532,0.00262714,0.00371657,0.00090304,125,23.5,2627.1,3716.6,24.005
15,23,600,0.00249392,0.0036318,0.00093123,95,15.83,2493.9,3631.8,24.047
15,24,624,0.0025951,0.00364445,0.00090358,145,23.24,2595.1,3644.4,24.13
15,25,642,0.00248412,0.00366009,0.00088377,105,16.36,2484.1,3660.1,24.254
15,26,357,0.00210704,0.0035586,0.00076341,45,12.61,2107.0,3558.6,24.418
16,16,56,0.00197848,0.00344946,0.00086625,6,10.71,1978.5,3449.5,23.648
16,17,591,0.00254286,0.003659,0.0007226,104,17.6,2542.9,3659.0,23.436
16,18,625,0.0025103,0.00360693,0.00094501,199,31.84,2510.3,3606.9,23.265
16,19,563,0.00271373,0.00367502,0.00078096,134,23.8,2713.7,3675.0,23.135
16,20,707,0.00246066,0.00376583,0.00100301,138,19.52,2460.7,3765.8,23.049
16,21,616,0.0025576,0.00359224,0.00096409,135,21.92,2557.6,3592.2,23.005
16,22,487,0.00264151,0.00377278,0.00087732,98,20.12,2641.5,3772.8,23.005
16,23,613,0.00254949,0.00366152,0.00098642,133,21.7,2549.5,3661.5,23.049
16,24,633,0.00260064,0.00359848,0.00085987,145,22.91,2600.6,3598.5,23.135
16,25,478,0.00265393,0.00360598,0.00091758,144,30.13,2653.9,3606.0,23.265
16,26,521,0.00241518,0.00363134,0.00073869,84,16.12,2415.2,3631.3,23.436
16,27,6,0.00265483,0.00339658,0.00095727,3,50.0,2654.8,3396.6,23.648
17,16,515,0.00252422,0.00373375,0.0006877,109,21.17,2524.2,3733.8,22.677
17,17,601,0.00250355,0.00369326,0.00093832,87,14.48,2503.5,3693.3,22.456
17,18,743,0.00265931,0.00363803,0.00089588,227,30.55,2659.3,3638.0,22.277
17,19,611,0.00267246,0.00364529,0.00094774,170,27.82,2672.5,3645.3,22.142
17,20,611,0.00261512,0.00367507,0.00089106,146,23.9,2615.1,3675.1,22.051
17,21,591,0.00263001,0.00364464,0.00096946,198,33.5,2630.0,3644.6,22.006
17,22,505,0.00259758,0.00373209,0.00098604,159,31.49,2597.6,3732.1,22.006
17,23,515,0.00239036,0.00364969,0.00103524,92,17.86,2390.4,3649.7,22.051
17,24,657,0.002607,0.00365887,0.00089145,182,27.7,2607.0,3658.9,22.142
17,25,703,0.00252694,0.00363947,0.00089531,135,19.2,2526.9,3639.5,22.277
17,26,648,0.00262349,0.00358506,0.00087711,158,24.38,2623.5,3585.1,22.456
17,27,506,0.00232112,0.003575,0.00077749,76,15.02,2321.1,3575.0,22.677
18,15,335,0.002273,0.00371124,0.0009019,45,13.43,2273.0,3711.2,21.983
18,16,485,0.00260415,0.00359627,0.00073709,63,12.99,2604.2,3596.3,21.708
18,17,485,0.00260134,0.00354014,0.00094241,129,26.6,2601.3,3540.1,21.477
18,18,691,0.00267251,0.00362379,0.00089879,229,33.14,2672.5,3623.8,21.29
18,19,653,0.00270933,0.00364144,0.00090041,231,35.38,2709.3,3641.4,21.148
