feature,mean_abs_shap,mean_shap,rank
X727,0.0018603553365750625,-0.0007490902941076629,1
X831,0.001372420944989648,3.3009840448060134e-05,2
X726,0.0011441162824563646,4.196827141487388e-05,3
X768,0.0010226836721526132,6.906814385409763e-05,4
X718,0.0008916859528806367,-2.7661063614465185e-05,5
X1003,0.0008888104907063409,6.839518713574188e-06,6
X1049,0.0008637958719339007,-3.2518496658032256e-05,7
X592,0.0008555021190165843,2.2862264662363256e-05,8
X983,0.0007948933207556336,6.076684432483785e-06,9
X732,0.0007564354364022047,-2.8123968698194387e-05,10
X982,0.0006911609598185596,7.959923037844447e-07,11
X1064,0.0006793350122236707,-1.7195658516436645e-06,12
X1066,0.0006517337298058902,-3.6829645967165354e-05,13
die_y,0.0006028395583709074,1.2591751693385605e-05,14
X1070,0.0005853846496710276,-1.626171587346544e-05,15
X588,0.0005285490373830907,0.0002912137908061455,16
X1032,0.0005057083521252079,1.198295258332531e-05,17
X1029,0.0004997330966868173,-3.244787704052929e-05,18
X1071,0.0004948036822624211,6.403184814026967e-06,19
X689,0.0004907743773373514,4.960112825034142e-06,20
X589,0.00047550042137204507,-6.926806057517298e-06,21
X573,0.0004636028788099342,-2.290001634487996e-05,22
X1060,0.00042701516940427705,2.8972374665033313e-06,23
X854,0.00040338262797532726,-1.013256447370458e-05,24
X586,0.0003997607322108464,0.0001103517912334508,25
X995,0.00039742436603109986,6.006678587306877e-07,26
X1014,0.00036597803850024855,-1.2234681215287562e-05,27
X391,0.000364799284187851,-1.513641307549519e-06,28
X1063,0.00033280872017245485,3.7139397308091363e-06,29
X465,0.000332419348206858,-8.962305386381042e-06,30
X572,0.0003280014203485921,3.534814457105351e-07,31
X397,0.00032102318681931623,2.0945730120756635e-06,32
X561,0.00029186594577782133,-1.941224196577571e-05,33
X839,0.00028578361054054977,1.317001806960258e-06,34
X594,0.0002814958630112359,0.00011652336422245972,35
X400,0.0002516934709789626,2.8827350709002747e-07,36
X734,0.000250870747127479,-7.399343860162603e-06,37
X870,0.0002503165648807581,-1.667055999387406e-05,38
X155,0.00024251759387842025,-6.219585755818029e-06,39
X722,0.0002370086833099163,1.579704609778139e-06,40
X408,0.0002367181667044427,-1.495306786632769e-07,41
X833,0.00023146166213681846,-7.838925440403243e-06,42
X632,0.00022563064507931366,2.434462835522796e-06,43
X824,0.00021858747213965887,-1.0249735331632313e-05,44
X1031,0.0002150308974331406,4.724295032612463e-06,45
X731,0.00021482313307252484,-9.206438912215636e-07,46
X243,0.00021371520325787492,-7.309125422697474e-06,47
X1068,0.00020777380978178434,-4.114120370967574e-06,48
X562,0.0002009469821591491,-8.075479293026923e-07,49
X202,0.0001964944046124576,-4.994046162208004e-06,50
X1076,0.0001884987770528282,1.5108343507292076e-05,51
X893,0.000187601486213705,8.900193593403899e-06,52
X1004,0.00018501804143383825,-4.2253468627329753e-07,53
X60,0.00017864119403413156,-1.7764571956732272e-06,54
X835,0.00017706805617259487,-7.1985965037120605e-06,55
die_x,0.00017660427278608275,4.758121056021603e-07,56
X1002,0.00017191772533709795,-4.166136909401623e-06,57
X880,0.00016952574259150398,2.8549115228107944e-06,58
X826,0.00016739969454010266,-1.971121516646908e-06,59
X390,0.00016698291079444185,-1.8194035368450136e-06,60
X773,0.0001663361455965919,4.831715533360688e-06,61
X1059,0.00016520772031562017,2.9317042381682488e-05,62
X1016,0.0001643561535854727,-5.655208097376082e-06,63
X590,0.00016287651752238454,-0.0001079776941439641,64
X577,0.00015304132209291264,-2.2399803591374126e-06,65
X19,0.00014734328383527283,-5.733804494209149e-07,66
X75,0.00014318037158123117,-1.1580521166440849e-05,67
X886,0.0001423512742842334,8.357749002191124e-06,68
X578,0.00014209884266027577,3.9304080145556765e-05,69
X557,0.00014203455733401838,5.411519922155468e-07,70
X317,0.0001400834409458053,8.023419932956596e-07,71
X723,0.0001384814135001212,1.5596435743227377e-05,72
X905,0.00013827263887378842,-4.067254760298419e-06,73
X1017,0.00013200029185891365,8.88536509299091e-06,74
X1007,0.0001256236703660878,-8.396189816086972e-06,75
X1058,0.00012498070342358954,-2.8151177057388775e-06,76
X828,0.00011425363837964119,-9.40935788707526e-07,77
X856,0.00011372504437368893,2.6460188552496334e-06,78
X550,0.00011317657150857404,-6.741936389837244e-07,79
X867,0.00011139801385151696,-1.107131334659418e-06,80
X849,0.00010786954196599645,-3.371512552529657e-07,81
X842,0.00010777931052568516,-4.0792818057806645e-06,82
X48,0.00010733617237121348,-2.898852334217254e-06,83
X1077,0.00010637712061702187,2.1247948463551924e-06,84
X34,0.00010577874103514159,2.6813608244935113e-07,85
X904,0.00010567239847545494,-3.072971592280715e-06,86
X146,0.00010539430619513549,-2.47085179594966e-08,87
X979,0.0001049808677053772,-2.2268959495648853e-06,88
X660,0.00010459098584819855,-3.721709732286917e-06,89
X314,0.0001030671239730096,-3.0483863143237555e-06,90
X1073,0.00010256991692137929,-4.602873471111088e-07,91
X738,0.00010106450721825436,2.7817247578912325e-07,92
X881,0.00010002920251160124,-3.3215678810753753e-06,93
X574,9.665457687367315e-05,1.4301146078395585e-05,94
X403,9.557457950856915e-05,3.678070243767108e-08,95
X1006,9.539240083620994e-05,1.249177292285204e-05,96
X1005,9.500831539088464e-05,-4.146522974535709e-06,97
X59,9.423697610937212e-05,9.296645132733438e-07,98
X875,9.15809468768035e-05,1.521019968818046e-06,99
X389,9.138132317797377e-05,-1.9852038830263168e-06,100
X190,9.086810974450634e-05,-6.52575045987142e-07,101
X466,9.083501170374882e-05,4.962516503677273e-06,102
X69,8.971773931721369e-05,1.3657916001941314e-07,103
X483,8.964900607296099e-05,1.4906152806097167e-06,104
X931,8.928264430439952e-05,-1.7922993842446945e-06,105
X1083,8.830929460034561e-05,5.7965527985537925e-06,106
X719,8.696181726668426e-05,1.0304655120519015e-06,107
X998,8.512986966509296e-05,-1.9837500464259346e-06,108
X486,8.349201934925432e-05,-6.950618246573642e-07,109
X563,8.338259466645576e-05,6.227088339637943e-06,110
X1075,8.332371999857315e-05,7.064293244498248e-06,111
X587,8.179318292210783e-05,2.233061358911454e-05,112
X713,8.11872467461218e-05,-3.1694336503178753e-06,113
X873,8.03186626231858e-05,8.417710457136101e-07,114
