die_x,die_y,feature,feat_norm
12,21,X727,0.4611
12,22,X727,0.6729
13,19,X727,0.7112
13,20,X727,0.6917
13,21,X727,0.64
13,22,X727,0.6647
13,23,X727,0.6876
13,24,X727,0.6121
14,18,X727,0.6891
14,19,X727,0.6028
14,20,X727,0.5406
14,21,X727,0.5118
14,22,X727,0.5241
14,23,X727,0.5655
14,24,X727,0.5019
14,25,X727,0.5999
15,17,X727,0.6328
15,18,X727,0.5276
15,19,X727,0.4504
15,20,X727,0.4116
15,21,X727,0.3782
15,22,X727,0.3895
15,23,X727,0.3811
15,24,X727,0.4179
15,25,X727,0.4842
15,26,X727,0.5579
16,16,X727,0.6126
16,17,X727,0.5513
16,18,X727,0.3964
16,19,X727,0.3511
16,20,X727,0.2858
16,21,X727,0.2761
16,22,X727,0.2576
16,23,X727,0.3034
16,24,X727,0.2621
16,25,X727,0.3557
16,26,X727,0.4766
16,27,X727,0.5443
17,16,X727,0.5786
17,17,X727,0.4193
17,18,X727,0.2916
17,19,X727,0.2322
17,20,X727,0.2295
17,21,X727,0.2502
17,22,X727,0.2047
17,23,X727,0.2369
17,24,X727,0.2183
17,25,X727,0.283
17,26,X727,0.3685
17,27,X727,0.5111
18,15,X727,0.5914
18,16,X727,0.5086
18,17,X727,0.315
18,18,X727,0.2122
18,19,X727,0.2117
18,20,X727,0.2315
18,21,X727,0.2172
18,22,X727,0.218
18,23,X727,0.2097
18,24,X727,0.1857
18,25,X727,0.1992
18,26,X727,0.2801
18,27,X727,0.4925
18,28,X727,0.5436
19,15,X727,0.6122
19,16,X727,0.403
19,17,X727,0.2523
19,18,X727,0.1748
19,19,X727,0.199
19,20,X727,0.2036
19,21,X727,0.2274
19,22,X727,0.2029
19,23,X727,0.2048
19,24,X727,0.185
19,25,X727,0.2009
19,26,X727,0.2093
19,27,X727,0.3792
19,28,X727,0.5288
20,14,X727,0.5631
20,15,X727,0.4695
20,16,X727,0.2958
20,17,X727,0.227
20,18,X727,0.1807
20,19,X727,0.2358
20,20,X727,0.2365
20,21,X727,0.2067
20,22,X727,0.2306
20,23,X727,0.1897
20,24,X727,0.2088
20,25,X727,0.2007
20,26,X727,0.2389
20,27,X727,0.2863
20,28,X727,0.4161
20,29,X727,0.6466
21,14,X727,0.6107
21,15,X727,0.4369
21,16,X727,0.2576
21,17,X727,0.2123
21,18,X727,0.1923
21,19,X727,0.1996
21,20,X727,0.1795
21,21,X727,0.1677
21,22,X727,0.1656
21,23,X727,0.1725
21,24,X727,0.1793
21,25,X727,0.2025
21,26,X727,0.2004
21,27,X727,0.2338
21,28,X727,0.3755
21,29,X727,0.6167
22,13,X727,0.3835
22,14,X727,0.616
22,15,X727,0.3413
22,16,X727,0.2284
22,17,X727,0.215
22,18,X727,0.1723
22,19,X727,0.1726
22,20,X727,0.1301
22,21,X727,0.1264
22,22,X727,0.1286
22,23,X727,0.1175
22,24,X727,0.1312
22,25,X727,0.221
22,26,X727,0.2365
22,27,X727,0.2739
22,28,X727,0.3436
22,29,X727,0.5819
22,30,X727,0.4592
23,13,X727,0.7143
23,14,X727,0.5336
23,15,X727,0.3351
23,16,X727,0.243
23,17,X727,0.2173
23,18,X727,0.1543
23,19,X727,0.0929
23,20,X727,0.0952
23,21,X727,0.0752
23,22,X727,0.0727
23,23,X727,0.091
23,24,X727,0.1222
23,25,X727,0.1461
23,26,X727,0.2004
23,27,X727,0.2786
23,28,X727,0.3381
23,29,X727,0.4943
23,30,X727,0.764
24,13,X727,0.6875
24,14,X727,0.4819
24,15,X727,0.3107
24,16,X727,0.2471
24,17,X727,0.2174
24,18,X727,0.1211
24,19,X727,0.0717
24,20,X727,0.0996
24,21,X727,0.0651
24,22,X727,0.0773
24,23,X727,0.0714
24,24,X727,0.0622
24,25,X727,0.1282
24,26,X727,0.209
24,27,X727,0.3333
24,28,X727,0.3398
24,29,X727,0.4687
24,30,X727,0.6951
25,13,X727,0.6763
25,14,X727,0.4292
25,15,X727,0.3133
25,16,X727,0.267
25,17,X727,0.1768
25,18,X727,0.0698
25,19,X727,0.0479
25,20,X727,0.063
25,21,X727,0.0497
25,22,X727,0.057
25,23,X727,0.0651
25,24,X727,0.0717
25,25,X727,0.0959
25,26,X727,0.1567
25,27,X727,0.3009
25,28,X727,0.3512
25,29,X727,0.4306
25,30,X727,0.6359
26,12,X727,0.6553
26,13,X727,0.6109
26,14,X727,0.3984
26,15,X727,0.3562
26,16,X727,0.3038
26,17,X727,0.1889
26,18,X727,0.0885
26,19,X727,0.0673
26,20,X727,0.126
26,21,X727,0.0888
26,22,X727,0.1315
26,23,X727,0.1157
26,24,X727,0.0998
26,25,X727,0.0858
26,26,X727,0.1504
26,27,X727,0.3311
26,28,X727,0.3932
26,29,X727,0.4199
26,30,X727,0.5455
26,31,X727,0.6454
27,12,X727,0.7469
27,13,X727,0.5073
27,14,X727,0.3545
27,15,X727,0.3432
27,16,X727,0.2789
27,17,X727,0.1387
27,18,X727,0.0507
27,19,X727,0.0498
27,20,X727,0.1134
27,21,X727,0.0988
27,22,X727,0.1099
27,23,X727,0.1151
27,24,X727,0.1039
27,25,X727,0.0805
27,26,X727,0.1576
27,27,X727,0.2668
27,28,X727,0.369
27,29,X727,0.3963
27,30,X727,0.4562
27,31,X727,0.7604
28,12,X727,0.7482
28,13,X727,0.4423
28,14,X727,0.355
28,15,X727,0.3676
28,16,X727,0.2749
28,17,X727,0.1693
28,18,X727,0.0852
28,19,X727,0.0993
28,20,X727,0.1413
28,21,X727,0.0979
28,22,X727,0.1368
28,23,X727,0.1596
28,24,X727,0.0993
28,25,X727,0.1407
28,26,X727,0.1512
28,27,X727,0.2944
28,28,X727,0.3732
28,29,X727,0.4033
28,30,X727,0.4272
28,31,X727,0.6978
29,12,X727,0.708
29,13,X727,0.3799
29,14,X727,0.34
29,15,X727,0.3614
29,16,X727,0.2605
29,17,X727,0.1484
29,18,X727,0.0921
29,19,X727,0.136
29,20,X727,0.0961
29,21,X727,0.1095
29,22,X727,0.1024
29,23,X727,0.1027
29,24,X727,0.1227
29,25,X727,0.1428
29,26,X727,0.1738
29,27,X727,0.235
29,28,X727,0.3529
29,29,X727,0.3937
29,30,X727,0.4199
29,31,X727,0.6592
30,12,X727,0.675
30,13,X727,0.3642
30,14,X727,0.3616
30,15,X727,0.3378
30,16,X727,0.2379
30,17,X727,0.1733
30,18,X727,0.1542
30,19,X727,0.1306
30,20,X727,0.1378
30,21,X727,0.1094
30,22,X727,0.1462
30,23,X727,0.1367
30,24,X727,0.1123
30,25,X727,0.1773
30,26,X727,0.1803
30,27,X727,0.2318
30,28,X727,0.3214
30,29,X727,0.3895
30,30,X727,0.3902
30,31,X727,0.5802
31,11,X727,0.4214
31,12,X727,0.6171
31,13,X727,0.3505
31,14,X727,0.3532
31,15,X727,0.3116
31,16,X727,0.2249
31,17,X727,0.1409
31,18,X727,0.1288
31,19,X727,0.1423
31,20,X727,0.1221
31,21,X727,0.1318
31,22,X727,0.1174
31,23,X727,0.1336
31,24,X727,0.1198
31,25,X727,0.1582
31,26,X727,0.1973
31,27,X727,0.2003
31,28,X727,0.3038
31,29,X727,0.3874
31,30,X727,0.3987
31,31,X727,0.5577
31,32,X727,0.8552
32,11,X727,0.6634
32,12,X727,0.6469
32,13,X727,0.3619
32,14,X727,0.3739
32,15,X727,0.3037
32,16,X727,0.2152
32,17,X727,0.2034
32,18,X727,0.1617
32,19,X727,0.1463
32,20,X727,0.1741
32,21,X727,0.1462
32,22,X727,0.1437
32,23,X727,0.151
32,24,X727,0.145
32,25,X727,0.1731
32,26,X727,0.2177
32,27,X727,0.2221
32,28,X727,0.2842
32,29,X727,0.3766
32,30,X727,0.4042
32,31,X727,0.6159
32,32,X727,0.6652
33,11,X727,0.7879
33,12,X727,0.6485
33,13,X727,0.3484
33,14,X727,0.3745
33,15,X727,0.2682
33,16,X727,0.2048
33,17,X727,0.1679
33,18,X727,0.1631
33,19,X727,0.1239
33,20,X727,0.1277
33,21,X727,0.141
33,22,X727,0.1264
33,23,X727,0.102
33,24,X727,0.1263
33,25,X727,0.1626
33,26,X727,0.1813
33,27,X727,0.1797
33,28,X727,0.2769
33,29,X727,0.3737
33,30,X727,0.414
33,31,X727,0.5836
33,32,X727,0.6758
34,11,X727,0.7832
34,12,X727,0.5786
34,13,X727,0.3372
34,14,X727,0.3714
34,15,X727,0.2768
34,16,X727,0.1714
34,17,X727,0.1923
34,18,X727,0.1341
34,19,X727,0.1625
34,20,X727,0.1114
34,21,X727,0.1171
34,22,X727,0.0957
34,23,X727,0.1537
34,24,X727,0.1271
34,25,X727,0.1695
34,26,X727,0.1831
34,27,X727,0.1871
34,28,X727,0.2415
34,29,X727,0.3712
34,30,X727,0.4
