ufs_serial,run_id,wafer_no,date,die_x,die_y,health,split,position,pred
S04243,103,1,2026-04-13,22,25,0.0,val,1,0.0032234326817635
S05086,103,1,2026-04-13,42,30,0.0,val,1,0.0032515922141039
S07567,103,1,2026-04-13,62,24,0.0010913338866857,val,1,0.0022787754754605
S09592,103,1,2026-04-13,53,27,0.0,val,1,0.0032377728766207
S11637,103,1,2026-04-13,42,31,0.0,val,1,0.0031415684408733
S11871,103,1,2026-04-13,51,28,0.0,val,1,0.0032079409529443
S35637,103,1,2026-04-13,42,24,0.0060974861671717,val,1,0.0024025316416129
S37869,103,1,2026-04-13,57,23,0.0,val,1,0.0032084937180978
S39740,103,1,2026-04-13,28,19,0.0,val,1,0.0031080836271747
S42820,103,1,2026-04-13,45,23,0.0,val,1,0.0032635009922834
S43602,103,1,2026-04-13,25,13,0.0115950820054592,val,1,0.0031050523944277
S04243,103,1,2026-04-13,23,25,0.0,val,2,0.0031379495840675
S05086,103,1,2026-04-13,41,30,0.0,val,2,0.0032820992100555
S07567,103,1,2026-04-13,61,24,0.0010913338866857,val,2,0.0025526452371157
S09592,103,1,2026-04-13,54,27,0.0,val,2,0.0032087749637134
S11637,103,1,2026-04-13,43,31,0.0,val,2,0.0031930116078257
S11871,103,1,2026-04-13,50,28,0.0,val,2,0.0031714700261713
S35637,103,1,2026-04-13,41,24,0.0060974861671717,val,2,0.003163981432746
S37869,103,1,2026-04-13,59,23,0.0,val,2,0.0032497786059236
S39740,103,1,2026-04-13,29,19,0.0,val,2,0.0032656450921066
S42820,103,1,2026-04-13,46,23,0.0,val,2,0.0032629246252853
S43602,103,1,2026-04-13,26,13,0.0115950820054592,val,2,0.0031546785664194
S04243,103,1,2026-04-13,20,25,0.0,val,3,0.0033031461944685
S05086,103,1,2026-04-13,44,30,0.0,val,3,0.003238146576172
S07567,103,1,2026-04-13,65,24,0.0010913338866857,val,3,0.0028760900046793
S09592,103,1,2026-04-13,51,27,0.0,val,3,0.0031955620943046
S11637,103,1,2026-04-13,40,31,0.0,val,3,0.0031491882934003
S11871,103,1,2026-04-13,53,28,0.0,val,3,0.003099245518891
S35637,103,1,2026-04-13,44,24,0.0060974861671717,val,3,0.0032207931950049
S37869,103,1,2026-04-13,55,23,0.0,val,3,0.0029983517727812
S39740,103,1,2026-04-13,26,19,0.0,val,3,0.0032713346787008
S42820,103,1,2026-04-13,42,23,0.0,val,3,0.0031122541535642
S43602,103,1,2026-04-13,27,12,0.0115950820054592,val,3,0.003119926993544
S04243,103,1,2026-04-13,21,25,0.0,val,4,0.0032449621627903
S05086,103,1,2026-04-13,43,30,0.0,val,4,0.0030699277644268
S07567,103,1,2026-04-13,63,24,0.0010913338866857,val,4,0.0023273505000892
S09592,103,1,2026-04-13,52,27,0.0,val,4,0.0032880427944533
S11637,103,1,2026-04-13,41,31,0.0,val,4,0.0031186491609012
S11871,103,1,2026-04-13,52,28,0.0,val,4,0.0014766813458587
S35637,103,1,2026-04-13,43,24,0.0060974861671717,val,4,0.0032423195488384
S37869,103,1,2026-04-13,56,23,0.0,val,4,0.0028952359367532
S39740,103,1,2026-04-13,27,19,0.0,val,4,0.0032070856837253
S42820,103,1,2026-04-13,43,23,0.0,val,4,0.0029382119616476
S43602,103,1,2026-04-13,24,13,0.0115950820054592,val,4,0.003145912840589
S00893,103,3,2026-04-13,43,23,0.0,val,1,0.0015827883978428
S01487,103,3,2026-04-13,42,11,0.0057591137685693,val,1,0.0028996909396929
S01741,103,3,2026-04-13,50,22,0.0028425257871994,val,1,0.0012803153801321
S04244,103,3,2026-04-13,40,21,0.0,val,1,0.002197909944694
