ufs_serial,run_wf_xy,position,pi,one_minus_pi,mu,pred_raw,pred_taupi,health
S00000,0000000_25_24_25,1,0.8728777322134861,0.12712226778651392,0.0009924756372536934,0.00012616575373055507,0.00012616575373055507,0.0
S00002,0000000_8_37_24,1,0.8627479873389884,0.1372520126610116,0.0009886993192506181,0.0001357009714837194,0.0001357009714837194,0.0
S00003,0000000_13_34_27,1,0.8154790951165029,0.18452090488349715,0.0010124290154780583,0.00018681431806631945,0.00018681431806631945,0.0
S00004,0000000_10_22_15,1,0.8717141133495626,0.1282858866504374,0.0009955746379715657,0.0001277181751588705,0.0001277181751588705,0.0
S00009,0000000_7_41_19,1,0.8500717892276535,0.14992821077234653,0.0009901564591820414,0.00014845238630984545,0.00014845238630984545,0.0
S00012,0000000_20_50_26,1,0.868017491920682,0.131982508079318,0.0009906221182546106,0.00013074479172609025,0.00013074479172609025,0.0
S00013,0000000_22_24_20,1,0.8899881007998725,0.11001189920012755,0.000976995358196493,0.00010748111486490509,0.00010748111486490509,0.0
S00015,0000001_4_49_31,1,0.24635952694168645,0.7536404730583135,0.000980984366541254,0.0007393095220629606,0.0007393095220629606,0.0
S00017,0000002_3_19_16,1,0.5324488245041817,0.46755117549581826,0.000998174839481324,0.0004666978195498427,0.0004666978195498427,0.0
S00018,0000003_16_17_20,1,0.10256517212972366,0.8974348278702764,0.0009890561621488157,0.0008876134466320586,0.0008876134466320586,0.0
S00020,0000003_22_63_22,1,0.15794594402758788,0.8420540559724121,0.0009971873582200097,0.0008396856595535738,0.0008396856595535738,0.0
S00021,0000004_25_33_23,1,0.28913690889157423,0.7108630911084257,0.0009967892448068867,0.0007085806837470567,0.0007085806837470567,0.0
S00022,0000005_19_42_14,1,0.43526132309125415,0.5647386769087459,0.000990907988381636,0.0005596040662969521,0.0005596040662969521,0.0
S00023,0000003_5_58_18,1,0.22718492101236282,0.7728150789876371,0.0009766088307895796,0.0007547380307066729,0.0007547380307066729,0.0
S00024,0000003_12_32_17,1,0.14708678325772057,0.8529132167422795,0.0009879391935525466,0.0008426263955186759,0.0008426263955186759,0.0
S00025,0000003_13_45_17,1,0.22178351544747205,0.7782164845525279,0.0009918960037812183,0.0007719098211043206,0.0007719098211043206,0.0
S00026,0000003_14_35_23,1,0.1406707728471169,0.8593292271528831,0.0009999202557668709,0.0008592607006026583,0.0008592607006026583,0.0
S00027,0000003_5_58_21,1,0.20816511326278828,0.7918348867372117,0.0009912808122091677,0.0007849307296604176,0.0007849307296604176,0.0
S00028,0000003_16_58_21,1,0.13781921804792874,0.8621807819520713,0.001001609308804317,0.0008635682970753797,0.0008635682970753797,0.0
S00029,0000004_7_52_18,1,0.3133387161478373,0.6866612838521626,0.0009966621746705176,0.000684369328426146,0.000684369328426146,0.0
S00031,0000004_8_26_15,1,0.1836555447153971,0.8163444552846029,0.0009920211485621138,0.0008098309641537449,0.0008098309641537449,0.0
S00032,0000004_5_36_15,1,0.14317016357494977,0.8568298364250502,0.0009939297226243384,0.0008516286416542073,0.0008516286416542073,0.0024556306573382
S00034,0000004_7_41_27,1,0.18667756825492826,0.8133224317450718,0.0010003452644439573,0.0008136032430622263,0.0008136032430622263,0.0
S00035,0000004_7_30_25,1,0.21048544244818967,0.7895145575518103,0.0009952523423049165,0.000785766212687269,0.000785766212687269,0.0
S00037,0000004_8_47_19,1,0.24280495104732078,0.7571950489526792,0.0009906345854121968,0.0007501036033954054,0.0007501036033954054,0.0024203995363741
S00038,0000003_14_50_14,1,0.1432883315232212,0.8567116684767788,0.0010022162770007216,0.0008586103788438738,0.0008586103788438738,0.0
S00039,0000006_11_28_31,1,0.2600341345025181,0.7399658654974819,0.0009846990609718512,0.0007286436929065935,0.0007286436929065935,0.0024294149851399
S00041,0000004_23_41_11,1,0.2527479941480311,0.7472520058519689,0.0009942527543346882,0.0007429573650004406,0.0007429573650004406,0.0024488066378919
S00042,0000007_16_21_29,1,0.18727471535265128,0.8127252846473487,0.000992682437998358,0.0008067781169866396,0.0008067781169866396,0.0024355223631917
S00043,0000008_3_54_30,1,0.3953428861054134,0.6046571138945867,0.000984568865288996,0.0005953265685161124,0.0005953265685161124,0.0
